Gene1	Gene2	Corr_strength
AT5G59720	AT4G27670	0.9104720609674556
AT5G59720	AT3G09640	0.9406170875681115
AT5G59720	AT5G12020	0.8009830734035916
AT5G59720	AT2G29500	0.8897144907094919
AT5G59720	AT1G52560	0.8627995722088838
AT5G59720	AT1G53540	0.9056816300387988
AT5G59720	AT4G10250	0.9401043601173578
AT5G59720	AT3G46230	0.8668420469521282
AT5G59720	AT1G48720	0.8451540189292666
AT5G59720	AT1G72660	0.8389790355178398
AT5G59720	ATMG00630	0.8294638567678606
AT5G59720	AT2G26790	0.851984037281527
AT5G59720	AT3G12510	0.8255073172260942
AT5G59720	ATMG00160	0.853187123907467
AT5G59720	ATMG00940	0.8025372189457914
AT5G59720	AT5G15250	0.8137562166814694
AT5G59720	ATMG00640	0.8494008437113268
AT5G59720	ATMG00650	0.8444648870247977
AT5G59720	AT2G07675	0.8534244186171827
AT5G59720	257239_at	0.8204193120061855
AT5G59720	AT1G76280	0.8429686362673564
AT5G59720	AT5G50620	0.8152524522982016
AT5G59720	ATMG00690	0.8191753199140417
AT5G59720	AT2G30000	0.8777273377819
AT4G27670	AT3G09640	0.9079953198913525
AT4G27670	AT5G12020	0.8758678752463156
AT4G27670	AT2G29500	0.9427549791090675
AT4G27670	AT1G52560	0.8923897071139663
AT4G27670	AT1G53540	0.9478669512864113
AT4G27670	AT4G10250	0.9863914051994365
AT4G27670	AT5G12030	0.8546149315435212
AT4G27670	AT3G46230	0.949576699748838
AT4G27670	AT1G48720	0.8292809024947543
AT4G27670	AT4G25200	0.8735172193232584
AT4G27670	AT4G12400	0.8600857777632878
AT4G27670	AT1G72660	0.9209379666114803
AT4G27670	AT2G07712	0.8166131309201464
AT4G27670	254414_at	0.8999769135899199
AT4G27670	AT1G17870	0.842156013456505
AT4G27670	AT4G03320	0.8572758495939038
AT4G27670	AT5G47830	0.8338495777724415
AT4G27670	AT4G29770	0.8302897024665634
AT4G27670	ATMG00630	0.8938474310830681
AT4G27670	AT2G26790	0.8794077578828113
AT4G27670	AT3G12510	0.8245179617418867
AT4G27670	AT4G19430	0.844661455522024
AT4G27670	ATMG00160	0.8773443888861422
AT4G27670	AT2G07670	0.800132672488815
