GeneSet	Regulator	Symbol	CO	PD	PWM_num	PWM_source	PWM_name	rank	p-value	q-value	#hits	hits	PDtargets
1	AT2G36270	ABI5	5	54	PWM2530	JASPAR	MA0931.1	1	4.843966807273058e-15	8.685232485440592e-12	54	AT1G01250,AT1G01470,AT1G09350,AT1G16850,AT1G17210,AT1G19970,AT1G20440,AT1G21790,AT1G27320,AT1G32900,AT1G51140,AT1G56650,AT1G67310,AT1G67850,AT1G69870,AT1G70640,AT1G78070,AT1G80130,AT1G20450,AT2G04350,AT2G22240,AT2G39800,AT2G42540,AT3G11410,AT3G27250,AT3G28007,AT3G46450,AT3G50970,AT3G55580,AT3G56270,AT4G01985,AT4G03200,AT4G12000,AT4G17550,AT4G22880,AT4G34000,AT4G37460,AT5G04250,AT5G15500,AT5G23850,AT5G40800,AT5G42800,AT5G47640,AT5G50240,AT5G55950,AT5G57610,AT5G58340,AT5G58350,AT5G66460,AT5G15970,AT5G43150,AT5G59310,AT5G59320,AT5G15960	AT1G01250,AT1G02400,AT1G16850,AT1G20440,AT1G21790,AT1G27200,AT1G32900,AT1G51140,AT1G58360,AT1G66390,AT1G67310,AT1G69870,AT1G70640,AT1G78070,AT1G78610,AT1G20450,AT2G04350,AT2G23120,AT2G39800,AT2G41190,AT2G45600,AT2G47670,AT3G11410,AT3G16940,AT3G19290,AT3G27250,AT3G46450,AT3G50970,AT3G56270,AT3G62070,AT3G05650,AT4G01985,AT4G03200,AT4G09820,AT4G17550,AT4G24960,AT4G34000,AT4G34280,AT4G01060,AT5G15500,AT5G17850,AT5G23850,AT5G23890,AT5G40800,AT5G47640,AT5G50240,AT5G52310,AT5G57610,AT5G58340,AT5G66460,AT5G15970,AT5G50720,AT5G59320,AT5G15960
1	AT2G36270	ABI5	5	54	PWM957	CisBP	M0257_1.01	2	4.843966807273058e-15	8.685232485440592e-12	54	AT1G01250,AT1G01470,AT1G09350,AT1G16850,AT1G17210,AT1G19970,AT1G20440,AT1G21790,AT1G27320,AT1G32900,AT1G51140,AT1G56650,AT1G67310,AT1G67850,AT1G69870,AT1G70640,AT1G78070,AT1G80130,AT1G20450,AT2G04350,AT2G22240,AT2G39800,AT2G42540,AT3G11410,AT3G27250,AT3G28007,AT3G46450,AT3G50970,AT3G55580,AT3G56270,AT4G01985,AT4G03200,AT4G12000,AT4G17550,AT4G22880,AT4G34000,AT4G37460,AT5G04250,AT5G15500,AT5G23850,AT5G40800,AT5G42800,AT5G47640,AT5G50240,AT5G55950,AT5G57610,AT5G58340,AT5G58350,AT5G66460,AT5G15970,AT5G43150,AT5G59310,AT5G59320,AT5G15960	AT1G01250,AT1G02400,AT1G16850,AT1G20440,AT1G21790,AT1G27200,AT1G32900,AT1G51140,AT1G58360,AT1G66390,AT1G67310,AT1G69870,AT1G70640,AT1G78070,AT1G78610,AT1G20450,AT2G04350,AT2G23120,AT2G39800,AT2G41190,AT2G45600,AT2G47670,AT3G11410,AT3G16940,AT3G19290,AT3G27250,AT3G46450,AT3G50970,AT3G56270,AT3G62070,AT3G05650,AT4G01985,AT4G03200,AT4G09820,AT4G17550,AT4G24960,AT4G34000,AT4G34280,AT4G01060,AT5G15500,AT5G17850,AT5G23850,AT5G23890,AT5G40800,AT5G47640,AT5G50240,AT5G52310,AT5G57610,AT5G58340,AT5G66460,AT5G15970,AT5G50720,AT5G59320,AT5G15960
1	AT2G36270	ABI5	5	54	PWM621	AthaMAP	T04543	14	8.644247586352981e-11	1.1922412247946842e-8	47	AT1G01470,AT1G09350,AT1G16850,AT1G17210,AT1G17550,AT1G19970,AT1G21790,AT1G27910,AT1G32900,AT1G51140,AT1G67310,AT1G67850,AT1G69870,AT1G70640,AT1G78070,AT1G45249,AT2G04350,AT2G22240,AT2G39800,AT2G41190,AT2G42540,AT3G11410,AT3G23840,AT3G27250,AT3G27530,AT3G50970,AT3G55580,AT3G56270,AT4G01985,AT4G03200,AT4G12000,AT4G17550,AT4G24960,AT4G34000,AT4G34280,AT4G01060,AT5G04250,AT5G40800,AT5G47640,AT5G50240,AT5G55950,AT5G57610,AT5G58340,AT5G58350,AT5G66460,AT5G15970,AT5G50720	AT1G01250,AT1G02400,AT1G16850,AT1G20440,AT1G21790,AT1G27200,AT1G32900,AT1G51140,AT1G58360,AT1G66390,AT1G67310,AT1G69870,AT1G70640,AT1G78070,AT1G78610,AT1G20450,AT2G04350,AT2G23120,AT2G39800,AT2G41190,AT2G45600,AT2G47670,AT3G11410,AT3G16940,AT3G19290,AT3G27250,AT3G46450,AT3G50970,AT3G56270,AT3G62070,AT3G05650,AT4G01985,AT4G03200,AT4G09820,AT4G17550,AT4G24960,AT4G34000,AT4G34280,AT4G01060,AT5G15500,AT5G17850,AT5G23850,AT5G23890,AT5G40800,AT5G47640,AT5G50240,AT5G52310,AT5G57610,AT5G58340,AT5G66460,AT5G15970,AT5G50720,AT5G59320,AT5G15960
1	AT2G36270	ABI5	5	54	PWM2904	DAP-seq	ABI5_col	23	1.0691310607837081e-9	8.713418145387221e-8	45	AT1G01470,AT1G09350,AT1G17550,AT1G19970,AT1G21790,AT1G27320,AT1G32900,AT1G51140,AT1G67310,AT1G67850,AT1G69870,AT1G70640,AT1G20450,AT2G04350,AT2G22240,AT2G39800,AT2G41190,AT2G42540,AT3G05030,AT3G16940,AT3G27250,AT3G27530,AT3G45190,AT3G46450,AT3G50970,AT3G56270,AT4G01985,AT4G09820,AT4G17550,AT4G20850,AT4G22880,AT4G34000,AT5G15500,AT5G23890,AT5G40800,AT5G42570,AT5G47640,AT5G50240,AT5G55950,AT5G57610,AT5G58340,AT5G58350,AT5G66460,AT5G15970,AT5G50720	AT1G01250,AT1G02400,AT1G16850,AT1G20440,AT1G21790,AT1G27200,AT1G32900,AT1G51140,AT1G58360,AT1G66390,AT1G67310,AT1G69870,AT1G70640,AT1G78070,AT1G78610,AT1G20450,AT2G04350,AT2G23120,AT2G39800,AT2G41190,AT2G45600,AT2G47670,AT3G11410,AT3G16940,AT3G19290,AT3G27250,AT3G46450,AT3G50970,AT3G56270,AT3G62070,AT3G05650,AT4G01985,AT4G03200,AT4G09820,AT4G17550,AT4G24960,AT4G34000,AT4G34280,AT4G01060,AT5G15500,AT5G17850,AT5G23850,AT5G23890,AT5G40800,AT5G47640,AT5G50240,AT5G52310,AT5G57610,AT5G58340,AT5G66460,AT5G15970,AT5G50720,AT5G59320,AT5G15960
1	AT2G36270	ABI5	5	54	PWM589	AthaMAP	T04543	180	0.000505334122788911	0.005734582798484287	32	AT1G02400,AT1G03380,AT1G09350,AT1G30500,AT1G33230,AT1G51140,AT1G67310,AT1G70640,AT1G78070,AT2G21620,AT2G23120,AT2G41190,AT3G19190,AT3G19290,AT3G23840,AT3G27250,AT3G28007,AT3G55580,AT4G01985,AT4G09820,AT4G20850,AT4G34000,AT5G10940,AT5G43880,AT5G50240,AT5G55950,AT5G56290,AT5G57610,AT5G15970,AT5G50720,AT5G59310,AT5G59320	AT1G01250,AT1G02400,AT1G16850,AT1G20440,AT1G21790,AT1G27200,AT1G32900,AT1G51140,AT1G58360,AT1G66390,AT1G67310,AT1G69870,AT1G70640,AT1G78070,AT1G78610,AT1G20450,AT2G04350,AT2G23120,AT2G39800,AT2G41190,AT2G45600,AT2G47670,AT3G11410,AT3G16940,AT3G19290,AT3G27250,AT3G46450,AT3G50970,AT3G56270,AT3G62070,AT3G05650,AT4G01985,AT4G03200,AT4G09820,AT4G17550,AT4G24960,AT4G34000,AT4G34280,AT4G01060,AT5G15500,AT5G17850,AT5G23850,AT5G23890,AT5G40800,AT5G47640,AT5G50240,AT5G52310,AT5G57610,AT5G58340,AT5G66460,AT5G15970,AT5G50720,AT5G59320,AT5G15960
1	AT2G36270	ABI5	5	54	PWM719	AthaMAP	T04543	269	0.004316025340576402	0.033356178601954695	29	AT1G02400,AT1G16850,AT1G17550,AT1G24190,AT1G26830,AT1G27320,AT1G27910,AT1G32900,AT1G36160,AT1G67850,AT1G68570,AT1G71710,AT1G78070,AT1G80130,AT2G21620,AT2G22240,AT2G45600,AT3G15350,AT3G45190,AT3G62070,AT3G16360,AT4G20850,AT4G01060,AT5G56290,AT5G58340,AT5G58350,AT5G15970,AT5G21326,AT5G15960	AT1G01250,AT1G02400,AT1G16850,AT1G20440,AT1G21790,AT1G27200,AT1G32900,AT1G51140,AT1G58360,AT1G66390,AT1G67310,AT1G69870,AT1G70640,AT1G78070,AT1G78610,AT1G20450,AT2G04350,AT2G23120,AT2G39800,AT2G41190,AT2G45600,AT2G47670,AT3G11410,AT3G16940,AT3G19290,AT3G27250,AT3G46450,AT3G50970,AT3G56270,AT3G62070,AT3G05650,AT4G01985,AT4G03200,AT4G09820,AT4G17550,AT4G24960,AT4G34000,AT4G34280,AT4G01060,AT5G15500,AT5G17850,AT5G23850,AT5G23890,AT5G40800,AT5G47640,AT5G50240,AT5G52310,AT5G57610,AT5G58340,AT5G66460,AT5G15970,AT5G50720,AT5G59320,AT5G15960
1	AT4G25470	ATCBF2	14	0	PWM2779	DAP-seq	CBF2_col	3	9.262826321490401e-14	5.536082531477429e-11	52	AT1G01470,AT1G09350,AT1G16850,AT1G20440,AT1G21790,AT1G27200,AT1G27320,AT1G27910,AT1G29400,AT1G33230,AT1G43890,AT1G47710,AT1G51090,AT1G64890,AT1G67310,AT1G68570,AT1G69790,AT1G69870,AT1G70640,AT1G75370,AT1G76580,AT1G78070,AT1G80130,AT1G20450,AT3G05660,AT2G41190,AT2G42530,AT2G42540,AT3G19290,AT3G23840,AT3G29590,AT3G50970,AT3G05650,AT4G01985,AT4G12000,AT4G17550,AT4G18280,AT4G21940,AT4G24960,AT4G01060,AT5G13200,AT5G15020,AT5G40800,AT5G42570,AT5G43880,AT5G50240,AT5G52310,AT5G15970,AT5G50720,AT5G59310,AT5G59320,AT5G15960	
1	AT4G25470	ATCBF2	14	0	PWM2584	JASPAR	MA0985.1	56	3.248609490111926e-7	0.000010401351456733365	40	AT1G09350,AT1G20440,AT1G21790,AT1G27200,AT1G27320,AT1G27910,AT1G29400,AT1G47710,AT1G51090,AT1G64890,AT1G68570,AT1G69790,AT1G70640,AT1G75370,AT1G76580,AT1G78070,AT1G80130,AT1G20450,AT3G05660,AT2G21590,AT2G21620,AT2G42540,AT3G19290,AT3G50970,AT3G55580,AT3G05650,AT4G12000,AT4G18280,AT4G21940,AT4G24960,AT4G38580,AT4G39210,AT5G13200,AT5G15020,AT5G42570,AT5G43880,AT5G52310,AT5G15970,AT5G50720,AT5G15960	
1	AT4G25470	ATCBF2	14	0	PWM1228	CisBP	M0030_1.01	65	9.214833724041486e-7	0.000027536994778677305	39	AT1G09350,AT1G20440,AT1G21790,AT1G27200,AT1G27320,AT1G27910,AT1G29400,AT1G47710,AT1G51090,AT1G64890,AT1G68570,AT1G69790,AT1G70640,AT1G75370,AT1G76580,AT1G78070,AT1G80130,AT1G20450,AT3G05660,AT2G21620,AT2G42540,AT3G19290,AT3G50970,AT3G55580,AT3G05650,AT4G12000,AT4G18280,AT4G21940,AT4G24960,AT4G38580,AT4G39210,AT5G13200,AT5G15020,AT5G42570,AT5G43880,AT5G52310,AT5G15970,AT5G50720,AT5G15960	
1	AT4G25470	ATCBF2	14	0	PWM723	AGRIS		90	0.0000025252217607989915	0.000059575297593586734	38	AT1G01250,AT1G09350,AT1G16850,AT1G20440,AT1G21790,AT1G27320,AT1G27910,AT1G29400,AT1G36160,AT1G47710,AT1G64890,AT1G68570,AT1G69790,AT1G69870,AT1G75370,AT1G78070,AT1G80130,AT1G20450,AT2G42530,AT2G42540,AT3G27250,AT3G55580,AT4G12000,AT4G24960,AT4G38580,AT4G39210,AT5G13200,AT5G15020,AT5G40800,AT5G42570,AT5G43880,AT5G52310,AT5G56290,AT5G15970,AT5G50720,AT5G59310,AT5G59320,AT5G15960	
