mode_0_names,mode_0_activation,mode_1_names,mode_1_activation,mode_2_names,mode_2_activation,mode_3_names,mode_3_activation,mode_4_names,mode_4_activation,mode_5_names,mode_5_activation,mode_6_names,mode_6_activation,mode_7_names,mode_7_activation,mode_8_names,mode_8_activation
CATMA3a24990,-,CATMA4a13980,+,CATMA2a45275,-,AT1G18470,-,CATMA3a44880,-,CATMA3a14910,+,CATMA3a46640,+,CATMA2a36370,+,CATMA2a41920,-
CATMA2a40590,-,CATMA2c47065_new,+,AT2G30140,+,CATMA1a41495,-,AT2G37710,-,AT5G04160,-,CATMA3a50380,+,CATMA5a36420,-,AT5G25260,-
CATMA1a10440,-,CATMA1a58560,+,CATMA2a41305,+,CATMA4a29005,-,CATMA3a12935,+,AT3G32980,+,CATMA3a55800,-,AT3G02480,-,CATMA1a42160,+
CATMA2a07730_new,-,CATMA1a65770,+,AT3G06550,-,CATMA1a20670,-,CATMA5a24340,-,CATMA2a16180,+,AT3G22850,+,AT2G28790,+,AT1G04220,+
CATMA5a53995,-,CATMA1a33895,+,CATMA3a23245,+,CATMA4a31860,-,AT4G01810,-,AT2G16850,-,AT1G70890,-,CATMA2a14770,-,CATMA1a12220,-
CATMA3a21660,-,CATMA_GFT_00087,+,AT5G40240,+,CATMA5a62130,-,AT3G09940,-,CATMA2a32640,+,AT5G08610,+,AT1G68765,-,CATMA4a41020,-
AT3G08910,-,CATMA1a37850,+,CATMA5a50980,-,CATMA2a29440,-,AT1G07400,-,CATMA5a49020,+,CATMA1a45280,-,AT5G05320,-,AT2G26190,-
AT2G16510,-,CATMA1a40740,+,CATMA1a47750,+,CATMA3a40325,-,CATMA2a42670,-,CATMA3a43940,+,CATMA5a12055,+,CATMA2a13330,-,CATMA1a63030,+
AT2G04930,-,CATMA5a12980,+,CATMA4a24970,+,CATMA2a33170,-,AT2G34940,-,CATMA4a24680,+,AT3G04170,-,CATMA1a12265,-,CATMA5a53360,-
CATMA5a17250,-,AT3G10620,+,CATMA1a62620,-,AT3G10850,-,CATMA5a53080,+,CATMA3a52880,+,CATMA1a33895,-,AT4G25810,-,CATMA5a51190,-
AT3G49560,-,CATMA3a55880,-,CATMA5a57810,-,AT2G02860,-,AT5G58710,-,AT5G64810,+,AT3G15270,-,CATMA5a15550,-,CATMA1a14680,-
CATMA1a54580,-,AT4G00440,+,CATMA2a29390,-,CATMA1a53070,-,CATMA3a22365,-,CATMA3a14290,-,CATMA3a28270,+,AT3G01290,-,AT3G45290,-
CATMA2a15345,-,CATMA1a34110,+,CATMA2a25610,-,AT2G33390,-,CATMA5a22090,+,CATMA5a35090,+,CATMA5a50090,-,AT5G03760,+,CATMA4a39085,-
CATMA3a42940,-,CATMA1a43770,-,AT5G67280,-,CATMA2a20265,-,AT1G56060,-,CATMA5a41950,-,AT4G08870,-,CATMA4a20930,-,CATMA4a29130,+
AT5G16230,-,CATMA1a47690,+,AT5G09530,+,CATMA5a61100,-,CATMA2a39050,-,AT3G22460,+,CATMA5a35200,+,CATMA1a68540,-,CATMA3a16530,+
CATMA4a39730,-,CATMA1a68720,+,CATMA5a10920,-,AT1G01320,-,AT3G05900,+,AT5G10760,+,CATMA1a59505,+,CATMA3a50520,-,CATMA1a13910,-
CATMA1a54040,-,CATMA1a24190,-,AT5G09440,+,CATMA5a27040,-,AT4G02520,-,CATMA3a13520,-,CATMA5a25890,-,AT5G28910,+,AT4G00955,-
CATMA1a62610,-,CATMA4a35580,+,CATMA5a57490,+,CATMA1a25570,-,CATMA3a12510,-,CATMA4a36503,+,CATMA5a22030,-,AT2G29460,-,AT5G05190,-
CATMA5a31790,-,CATMA4a39740,+,CATMA5a52920,-,AT4G01560,-,CATMA2a36270,-,AT2G35860,-,AT2G09970,-,AT2G40000,-,AT5G54710,-
AT1G10470,-,CATMA1a14085,+,CATMA5a56620,-,CATMA5a51110,-,AT5G54710,-,AT2G47130,+,AT2G16950,+,AT2G18670,-,CATMA3a47950,-
CATMA4a40010,-,CATMA3a52130,-,AT3G27690,-,CATMA1a46055,-,CATMA3a46730,-,AT3G17820,+,AT1G51060,+,AT5G06320,-,CATMA5a22130,-
CATMA1a37050,-,CATMA2a11510,+,CATMA3a11535,+,AT4G00490,-,CATMA5a38640,-,AT5G10380,+,AT2G46390,+,CATMA3a13280,-,CATMA3a47350,-
CATMA4a27612,-,CATMA2a45040,-,CATMA1a51520,+,AT4G02510,-,CATMA2a40710,+,AT3G51330,+,CATMA4a28990,-,CATMA1a21680,-,CATMA4a40500,-
CATMA5a17780,-,AT1G13110,-,AT1G65845,+,CATMA5a44110,-,CATMA4a36040,+,CATMA1a53700,-,AT1G08830,+,CATMA3a54340,-,AT1G52827,+
CATMA5a43790,-,AT1G59790,+,CATMA_GFT_02727,-,CATMA5a30360,-,AT5G10150,+,AT3G08860,+,CATMA4a21020,+,CATMA5a53200,-,CATMA3a17790,-
CATMA1a62650,-,CATMA5a36460,+,AT2G43820,+,AT1G29670,-,CATMA5a38610,-,CATMA3a19160,+,AT2G03300,+,CATMA2a32640,-,CATMA5a24103,-
CATMA3a55700,-,CATMA1a67590,+,AT3G19710,-,CATMA1a24810,-,CATMA3a14980,+,CATMA1a53800,-,CATMA3a28100,-,AT1G74590,-,AT2G38210,+
CATMA1a67010,-,AT3G07360,+,AT5G08610,-,AT3G63500,-,CATMA3a10360,-,CATMA1a63370,+,AT2G37770,+,CATMA2a18410,-,CATMA5a23850,-
CATMA4a19890,-,CATMA3c58083,+,AT2G15020,-,AT1G60680,-,AT3G10520,+,CATMA5a46160,+,AT3G28900,+,AT3G21190,+,CATMA1a11840,+
CATMA5a17950,-,CATMA5a24070,+,CATMA5a15220,+,CATMA5a21130,-,CATMA3a41620,-,AT2G21140,-,AT5G44670,-,AT3G47800,-,CATMA1a21980,-
CATMA5a17960,-,AT5G52670,+,CATMA1a22960,-,AT1G69740,-,CATMA5a17620,+,CATMA3a14930,+,CATMA4a29130,-,AT1G10070,-,CATMA3a24410,-
CATMA2a14500,-,CATMA4a30430,+,CATMA1a37020,-,CATMA5a44245,-,AT1G51890,-,CATMA3a25140,+,CATMA3a14050,+,CATMA3a46940,+,CATMA4a29300,+
CATMA1a25880,-,AT1G11680,+,CATMA1a11790,-,CATMA5a20820,-,AT4G04540,-,AT5G06320,+,CATMA3a13940,+,CATMA1a12680,-,CATMA3a16520,+
