mode_0_names,mode_0_activation,mode_1_names,mode_1_activation,mode_2_names,mode_2_activation,mode_3_names,mode_3_activation,mode_4_names,mode_4_activation,mode_5_names,mode_5_activation,mode_6_names,mode_6_activation,mode_7_names,mode_7_activation
CATMA5a39710,-,AT1G08650,-,CATMA5a60140,-,CATMA1a37020,+,CATMA5a12650,+,CATMA1a50890,-,CATMA3a56160,+,CATMA1a13150,+
AT5G04260,-,AT5G02760,-,AT2G28830,+,AT3G09260,-,AT1G75370,-,AT5G10760,+,CATMA4a13280,+,CATMA3a44780,+
CATMA1a23280,-,AT1G09390,-,AT3G09520,-,CATMA3a46550,+,AT3G03560,-,AT3G08730,+,CATMA1a27570,+,AT5G42770,-
CATMA4a23480,-,CATMA1a16690,-,CATMA1a63320,+,AT1G74440,+,CATMA5a53870,-,AT2G38870,-,CATMA2a23830,-,CATMA2a39060,+
AT2G03210,-,CATMA1a57105,-,CATMA1a54346,-,AT1G72610,+,AT4G38360,-,CATMA5a20125,+,CATMA3a50260,+,CATMA3a16310,+
CATMA1a65360,-,CATMA1a65790,+,CATMA4a39380,+,CATMA1a14400,-,CATMA5a36100,-,AT3G47960,+,CATMA4a16930,+,CATMA5a14040,-
AT1G17000,-,CATMA1a63440,-,CATMA2a27530,+,AT2G25450,-,CATMA5a58730,+,CATMA2a16530,+,CATMA5c64966,+,AT4G23990,-
CATMA5a26940,-,CATMA3c58047,-,CATMA3a45310,-,CATMA5a36700,-,CATMA5a56500,-,CATMA4a26980,+,CATMA2a30950,+,AT5G02260,-
AT1G32050,-,CATMA3a42990,-,CATMA5a59560,-,CATMA1a11145,+,AT1G08510,-,CATMA4a40410,+,CATMA1a21260,+,AT2G14520,-
CATMA4a21540,-,CATMA4a27320,-,CATMA5a35820,+,CATMA1a56040,-,CATMA1a70090,-,AT3G62950,-,AT2G13542,+,CATMA3a44840,+
CATMA4a25760,-,AT3G06145,-,AT2G17630,-,AT2G27830,-,AT4G03415,-,CATMA3a28625,+,AT5G02490,+,CATMA4a26830,+
CATMA2a38530,-,CATMA4a26620,-,AT5G12950,+,AT2G21650,+,CATMA2a44900,-,AT4G02130,+,AT1G08980,-,CATMA5a51190,+
CATMA1c71592,-,CATMA1a37510,-,CATMA4a34150,+,CATMA5a15220,-,CATMA1a47400,-,AT3G05350,+,CATMA5a54970,+,CATMA2a44900,+
CATMA3a25210,-,CATMA3a18530,-,AT5G09460,+,CATMA1a62290,+,CATMA5a60686,-,CATMA1a43915,+,AT1G10900,-,CATMA3a40160,+
AT4G26965,-,AT5G44420,-,AT5G64310,-,AT5G64810,+,CATMA1a32860,-,CATMA1a57905,+,AT1G09360,+,CATMA4a17630,-
CATMA2a21885,-,AT2G28790,-,CATMA2a18530,+,AT5G50740,+,AT3G09440,-,CATMA2a43740,+,CATMA3a55410,+,CATMA3a14180,+
AT3G22630,-,AT2G13820,-,CATMA2a38150,+,CATMA3a41610,+,CATMA4a34905,-,AT1G09620,+,AT2G18950,+,AT5G45690,+
CATMA1a58210,-,AT1G54010,-,CATMA4a34030,+,AT1G27150,-,CATMA2a32880,-,CATMA3a24410,+,CATMA4a32810,-,CATMA2a28530,+
CATMA3a27320,-,CATMA1a43280,-,AT5G13390,+,CATMA1a62155,+,CATMA2a28715,-,CATMA5a51700,+,AT2G25295,+,AT3G26550,+
CATMA3a45870,-,CATMA3a22590,+,CATMA1a47400,+,CATMA1a45030,+,CATMA2d02880,+,AT5G02020,-,AT1G65845,+,AT1G47820,-
CATMA3a14760,-,CATMA5a54060,-,CATMA1a62230,-,CATMA1a16890,-,CATMA5a37800,-,CATMA2a06400,+,CATMA4a29530,+,AT1G07000,+
CATMA4a26080,-,CATMA2a45050,+,AT4G02510,+,AT5G42825,-,CATMA5a13220,-,CATMA3a49410,+,CATMA1a66420,-,CATMA1a50890,-
CATMA3a37215,-,CATMA3a14120,-,CATMA3a17460,-,AT3G25770,-,AT4G30220,+,CATMA3a52930,+,CATMA3a23316,+,CATMA1a49270,-
AT4G20380,-,AT5G06510,+,CATMA1a68200,+,CATMA3a16090,+,CATMA3a42270,-,CATMA3a15990,+,AT3G02480,+,CATMA2a45250,+
CATMA5a41600,-,AT3G55900,+,CATMA1a32030,-,AT5G25460,+,CATMA2a14720,-,CATMA5a48380,+,CATMA1a57900,-,AT1G09080,+
CATMA4a20310,-,AT1G07370,-,CATMA5a38680,+,CATMA1a67570,-,CATMA4a13955,-,CATMA4a27664,+,CATMA3a11810,+,AT3G11010,+
AT4G08930,-,AT3G09280,-,CATMA2a28310,+,AT1G17020,-,CATMA3a15670,-,CATMA3a44766,-,AT4G02760,+,CATMA2a33060,+
CATMA3a51850,-,CATMA3a16100,-,AT1G06830,-,CATMA3a45230,+,CATMA3a43960,-,AT1G10270,+,AT1G68520,-,CATMA5a13200,+
CATMA4a36740,-,CATMA5a54300,+,CATMA3a28770,+,CATMA1a22720,-,AT5G04550,-,AT5G02860,+,AT1G04560,+,CATMA5a36060,+
AT5G62790,-,AT5G21920,-,CATMA2a20970,+,CATMA2a36460,-,AT4G29210,-,CATMA1a63353,+,CATMA3a30233,+,CATMA3a46780,+
AT5G06060,-,CATMA4a12530,-,CATMA1a47044,+,CATMA2a15860,+,CATMA4a37266,-,CATMA3a55023,+,CATMA2a05290,+,CATMA1a10240,+
CATMA2a16150,-,CATMA4a18850,-,CATMA3a16520,-,CATMA5a35200,-,AT4G04910,-,AT3G08505,+,CATMA5a40280,+,AT2G29120,+
CATMA1a41690,-,CATMA2a26930,+,CATMA5a62130,+,AT1G33840,+,CATMA4a40160,-,CATMA3a18090,+,AT3G15760,+,AT4G02050,+
AT1G17720,-,CATMA3c57248,-,AT1G73150,+,CATMA3a15645,+,AT1G08450,-,AT3G07270,+,CATMA3a56400,-,CATMA2a27520,+
CATMA5a23900,-,AT1G51060,-,AT1G38630,-,CATMA3a55950,+,CATMA5c64412,+,AT1G80920,-,CATMA5a10020,+,CATMA3a43920,+
CATMA5a61440,-,CATMA4a26750,-,AT2G38360,-,CATMA3a10630,-,CATMA2a29145,-,AT3G03250,+,AT3G46470,+,CATMA2a43136,+
CATMA2a29700,-,CATMA3a12850,+,CATMA4a30230,+,CATMA5a35240,+,CATMA4a18600,-,CATMA5a21665,+,AT4G00720,-,CATMA4a27602,-
AT1G12390,-,CATMA4a36050,+,CATMA2a23490,+,CATMA1a10070,-,CATMA5a62340,-,CATMA1a47910,+,CATMA3a17030,+,CATMA5a39756,+
AT1G47770,-,AT5G65010,-,CATMA5a22560,+,AT2G17500,-,CATMA4a33690,-,CATMA5a53400,-,CATMA5a57880,-,CATMA2a37440,+
AT3G02780,-,AT5G53710,+,CATMA3a39670,+,AT3G04480,+,CATMA5a50680,-,CATMA3a19360,+,AT1G09950,+,CATMA3a47330,-
AT2G26750,-,AT1G75580,-,AT4G31490,+,CATMA3a55026,-,CATMA2a37990,-,AT5G08610,+,CATMA5a51190,+,AT1G09950,+
CATMA4a11600,-,AT3G06770,-,AT5G03420,+,AT1G14130,-,CATMA3a39670,-,CATMA4a37660,+,CATMA3a10250,+,CATMA1a21105,+
CATMA4a37133,-,CATMA3a48330,-,CATMA1a62620,-,CATMA1a39430,+,CATMA5a55540,-,AT3G02830,+,CATMA4a26830,+,AT2G29460,+
AT4G00360,-,AT3G01670,-,AT4G32940,+,CATMA4a14770,+,CATMA3a19930,-,CATMA1a45386,+,CATMA1a56160,+,CATMA5a24083,+
CATMA5a20940,-,CATMA3c58048,-,CATMA4a13710,+,AT3G16390,-,CATMA4a22370,-,AT5G41900,+,AT4G30470,+,CATMA1a46040,+
CATMA3a44150,-,CATMA1a11515,-,CATMA3a41505,+,CATMA3a15760,-,CATMA1a19913,-,CATMA1a43100,+,CATMA1a45440,+,CATMA5a47470,-
CATMA1a19200,-,AT4G23000,+,CATMA2a17720,+,AT3G10720,+,CATMA4a20290,-,CATMA2a21867,+,CATMA4a23710,+,CATMA1a44930,-
CATMA3a20000,-,CATMA4a18440,-,AT1G06410,+,CATMA1a28940,-,CATMA2a32030,-,CATMA5a14123,+,CATMA5a18310,+,AT5G52750,+
