	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60
AT1G01010	191.202423090508	290.512610686986	207.082857723439	182.493442601971	224.809772795705	157.286872776468	222.777573066693	299.491247614239	214.282566145443	236.335642206498	227.914016979012	234.761978917955	362.706476674895	225.548481576113	302.020070329573	557.571920578877	498.71351649873	536.714150002763	262.28076745041	257.452133270779	310.174593535231	296.709611528014	259.977533005156	259.293221309082	409.796079635663	217.411154759195	299.690759859707	398.184665150347	288.460799522884	314.058446619468
AT1G01020	728.177452424132	632.292152671676	745.498287804381	933.902950712308	949.419844039006	1026.62334288756	1415.82498212944	1221.00277873498	1416.93065269379	1444.67736159049	1361.92522341117	1370.79408379679	1075.19447762647	854.674810007999	829.64549439931	452.672796537766	475.682341669303	891.371077317365	1206.02317175858	799.104673398912	1034.26460749755	940.378042987981	912.26350545503	614.115524153088	901.254421517563	934.602829909953	1248.41594639783	878.407376889459	990.881577581856	1076.77181698103
AT1G03987	0	1.75271559992149	0	1.15868852445696	0	1.13564529080483	1.13085062470403	0	0	0	5.55887846290272	0	2.42342857466522	0	0	0	0	0	0	0	0	0	3.51320990547508	0	0	0	0	0	0	7.17847877987355
AT1G01050	5244.66459598731	5467.1581350551	4839.50411802283	4806.81934370969	4941.13146457228	4653.87440171818	3584.79648031176	3864.33857289544	3652.03110339746	2892.99065613801	2697.44577412355	3232.69943383574	4550.39105369639	4181.68223408769	4365.82747447496	4536.1783369129	4553.97191531078	3958.75943533609	3255.87226498709	3337.96164132461	3157.28395378937	2780.45619835123	2874.97677264711	3022.81307999798	2478.07846707218	2775.9692564985	2452.4989401537	2090.96972403072	2204.66468206776	2060.22340982371
AT1G03997	0	0.876357799960743	0	2.31737704891392	0	2.27129058160965	0	0	0	0	0	8.09524065234326	0	2.67713331247611	2.18327761684029	0	0	0	0	6.68706839664362	0	0	0	0	0	0	0	0	0	0
AT1G01060	430.205451953644	493.389441377898	435.98734991666	788.48754089296	998.931520190441	968.137610411114	1180.608052191	1622.66160914738	1369.76798263307	1281.06037852446	1242.40933645876	810.873272009717	2480.7830509323	2183.20221632427	2077.75253202634	3049.6348944204	2645.04184771795	2123.21280485675	4106.72356415657	3752.55988191651	2883.78541016539	3488.73075490198	3236.83739291104	3239.45938990754	6007.3729645141	3774.2046195087	2693.67020252601	3305.53299913756	2418.20059859769	1599.00614821683
AT1G01070	191.202423090508	116.555587394779	148.298046498721	776.321311386162	1002.94598041894	948.831640467432	1791.26738953118	1876.07728020559	1691.70446956929	645.984088697762	601.74859360922	743.41293324019	1828.88076434735	1234.82774037961	1185.51974594428	3993.7270107904	3777.1126720259	2990.9400870198	2542.4061297202	1879.06621945686	1515.24480490522	1007.37698752657	1289.34803530936	1173.64300171479	700.810686913162	562.087375718894	711.100560377175	458.212504117736	687.43580146038	450.449543437065
AT1G01150	41.0995862717915	53.8960046975857	21.3762949908066	20.2770491779968	38.1373721707	27.8233096247182	14.7010581211523	28.0460031210659	34.8593648274884	6.05988826170509	6.9485980786284	9.4444474277338	248.805333665629	123.81741570202	104.797325608334	569.857403574683	566.921226570492	319.191234583141	295.846460903885	302.032589248403	187.571798117589	50.2492084039379	79.6327578574352	146.705375214349	26.7258312805867	22.5365221396726	0	28.0129915181149	20.6043428230632	30.5085348144626
AT1G08765	60.7559101409092	70.1086239968595	77.0437298626989	101.385245889984	78.9510511603965	61.3248457034606	180.936099952644	153.251374197253	189.675955678981	196.340379679245	182.053269660064	236.111185693345	64.6247619910725	99.0539325616162	63.3150508883684	71.8228236677876	71.7509677378279	184.421602203593	285.698693115625	190.581449304343	321.70135207877	384.047521372954	352.492060516	271.234356500947	423.158995275956	316.836987728339	624.207973198916	396.183737184768	629.369017140838	811.168102125711
AT1G01190	12.5085697348931	13.5835458993915	4.45339478975138	8.69016393342719	26.0939914852158	1.70346793620724	29.4021162423047	8.01314374887597	10.252754361026	26.6635083515024	23.6252334673366	32.380962609373	13.7327619231029	13.3856665623806	9.46086967297458	7.56029722818816	16.8304739138115	41.7707047726086	25.7597182317367	13.3741367932872	39.8197113322256	71.784583434197	50.3560086451429	39.2351584875584	132.144387998456	96.7744774233001	166.691901933802	196.090940626804	232.267137278167	224.327461871048
AT1G01210	868.898861941679	855.763391661666	756.186435299785	976.774426117216	762.078366709251	870.472115401899	765.585872924626	767.258513954874	901.217108334185	1385.29045662578	1100.65793565474	1423.41314803702	701.986477128025	648.535544947339	605.495659070373	607.658889715624	541.232608491517	501.248457271303	614.330249950812	641.958566077787	682.174528349445	1082.75080013247	825.604327786644	803.467810766957	1312.5352695577	1271.32498423212	1753.81160651627	1212.56234714126	1277.46925502992	1378.26792573572
AT1G01260	1913.81116943864	2069.5189446073	2017.38783975738	2188.76262269919	2357.82630753591	2121.38540322341	3005.8009604633	2651.34893790934	2907.68113678697	3711.07557146819	3848.13361594441	3768.33452366579	2320.0289554795	2406.74284791603	1859.42477034231	3213.12632197997	3086.17742714312	2433.73464788331	3257.43346003143	3490.64970304797	3445.45291737784	4210.16581841566	4529.69863812587	4547.86663164481	5737.14511489928	4242.16887335014	3732.83461245375	3871.79561339659	3109.38264420771	2833.70449835508
AT1G01305	1.78693853355615	4.81996789978409	3.11737635282597	13.9042622934835	16.057840913979	21.5772605252917	158.319087458564	185.303949192757	177.37265044575	549.025876510481	539.211210901564	536.984296605436	83.2043810635059	123.81741570202	16.7384617291089	61.4274149790288	52.2630505744672	73.2957649783509	229.495671519109	309.834169044488	301.791496412658	535.991556308671	654.628112386857	842.702969254515	243.502018334234	254.530132401009	505.395660118441	586.271893914833	290.333921597708	339.183122349025
AT1G01320	9794.21010242127	9093.08853239267	10029.9357454781	8069.68622858049	8710.04054242409	7802.45097047456	4319.84938636938	5067.31177819544	5434.98508677988	2427.59123763906	2604.33455986993	2618.81035103305	4680.44838720343	5596.54718973132	6455.22415379112	3516.48324826102	3442.27482258271	4404.0509107422	5751.44254337685	4845.89556476774	4504.86681624311	3087.93349739438	2997.93911933874	2794.22563489655	4274.6482364894	4637.22084968087	2706.08342926576	2401.11355869556	3038.2040053644	3022.13956632676
AT1G01340	449.861775822761	249.761972988812	312.182974761572	353.979344221601	352.603423402788	354.321330731106	127.786120591555	197.323664816071	186.600129370673	27.8754860038434	0	31.0317558339825	394.211048145542	402.239280199536	465.038132386981	349.663746803703	345.467622441394	417.707047726086	185.782210277374	125.939788136788	121.55490827732	84.9450903971332	80.8038278259269	47.7645407674624	68.2993466059438	35.7932998688918	79.7993147555433	122.056605900358	155.469132210386	131.007237732692
AT1G01355	34.3985667709559	34.177954198469	54.3314164349669	19.6977049157683	26.0939914852158	48.8327475046075	44.103174363457	30.0492890582849	71.769280527182	84.8384356638712	50.0299061661245	128.174643662102	87.2434286879479	90.3532492960688	76.4147165894101	53.8671177508407	48.7197929084017	84.3295360503607	129.579188680857	74.6722637625204	124.698569698286	224.925028093817	182.686915084704	177.411151422003	354.859648670012	311.534276636651	514.262250646834	462.214360048896	644.35399373943	529.412810015674
AT1G01370	1100.3074020372	1078.79645175168	984.645588014031	687.102295002976	481.735227419369	515.582962025391	92.7297512257302	97.1593679551211	114.830848843491	111.501944015374	79.2140180963638	157.857192720694	299.697333733599	332.633814075157	344.230104255152	116.239569883393	153.245894057336	202.548511821894	100.697080360425	118.138208340704	129.938005399894	99.3020070839726	113.593786943694	148.41125167033	138.083461616365	108.705577379597	131.225539820227	90.0417584510836	78.6711271426048	98.7040832232613
AT1G01380	55.3950945402407	62.2214037972128	61.0115086195939	134.407868837007	155.225795501797	183.406714464979	126.655269966851	205.336808564947	120.982501460107	141.801385323899	63.9271023233813	75.5555794218704	284.348952760719	193.422881826399	196.494985515626	326.037817965615	256.886180789754	252.988608151082	270.867340194322	296.4600322512	237.870380853032	221.335798922108	195.568684738113	182.528780789946	62.3602729880356	22.5365221396726	129.452221714548	36.0167033804334	41.2086856461263	44.8654923742097
AT1G01520	44.6734633389038	45.1324266979783	49.4326821662403	37.0780327826227	47.5044460371878	24.9841963977062	22.6170124940805	49.0805054618653	18.4549578498468	9.69582121872814	0	22.9365151816392	12.9249523982145	11.3778165780235	24.7438129908566	6.61526007466464	15.0588450807787	20.4912891337325	7.8059752217384	4.45804559776241	7.33520998225209	8.37486806732299	14.0528396219003	34.117529119616	31.1801364940178	34.4676220959699	35.4663621135748	76.0352626920261	63.6861505440134	93.3202241383561
AT1G01530	6.25428486744654	4.81996789978409	1.33601843692541	0	0	0	0	0	0	0	0	0	9.69371429866088	0	2.91103682245372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01580	20.9965277692848	14.8980825993326	10.2428080164282	15.0629508179405	14.7196875044807	8.51733968103619	343.778589910024	116.190584358702	229.661697686982	4212.83431953738	3730.00744860773	3501.19158213846	168.024381176789	172.00581532659	27.6548498133103	26.4610402986586	26.5744324954918	26.0081746697374	80.4015447839055	115.909185541823	338.467546323918	4822.72759705414	5926.78511053647	5322.3345426601	19368.803836403	20046.8992821253	24205.7921425148	36895.1107573229	38610.6653283455	31115.1162713619
AT1G01620	16756.122629156	13779.8500465827	17818.0325537953	18934.1291781512	17741.9069798325	18234.4886118077	7520.15665428177	8713.29218393401	9331.03174396976	2815.42408638818	2051.2261528111	2382.6991653397	10813.3383001562	12749.8474006675	15246.5553576013	9739.5529042134	12862.025327818	9623.81275430799	6416.51163226896	8385.5837693911	4861.14844395249	2094.91342655465	3255.57451240691	3839.92790241278	1319.95911158009	1234.20600659031	1541.01343383482	1068.49553361952	1680.19050111706	1082.15567606594
AT1G08775	0	0	0	0	0	0	0	0	0	7.2718659140461	15.2869157729825	12.1428609785149	0	0	5.09431443929401	6.61526007466464	0	0	0	0	0	4.78563889561314	10.5396297164252	10.2352587358848	22.2715260671556	17.233811047985	44.3329526419685	74.0343347264465	52.4474180950699	16.1515772547155
AT1G01700	70.584072075468	59.1541514973502	94.8573090217044	118.18622949461	81.627357979393	111.861061144275	90.4680499763221	105.172511703997	106.62864535467	127.257653495807	130.633643878214	110.634955582025	105.823047760381	104.408199186568	93.8809375241324	73.7128979748346	80.6091119029918	89.8464215863657	117.87022584825	61.2981269692332	88.0225197870251	92.1235487405529	106.567367132744	95.5290815349248	65.3298097969897	120.636677335895	152.505357088372	100.046398278982	80.5442492174287	125.623378647787
AT1G01715	370.789745712902	387.350147582649	345.583435684707	373.677049137369	279.674062585134	353.753508085703	419.545581765194	340.558609327229	435.742060343605	607.20080382285	498.909342045519	681.349421572225	269.000571787839	186.730048545209	213.961206450348	139.865498721481	170.076367971148	266.386758738523	319.2643865691	255.223110471898	308.078819254588	356.530097723179	421.58518865701	324.116526636352	368.222564310306	452.056120566374	822.819601034935	654.30344474454	648.100237889078	958.326917113119
