"regulator","target","score","rank","pval","padj"
"TF_AT5G17300","MODULE1",0.557440476190477,14,0,0
"TF_AT3G02380","MODULE1",0.613690476190476,10,0,0
"TF_AT3G09600","MODULE1",0.619940476190476,7,0,0
"TF_AT1G01520","MODULE1",0.519940476190476,15,0,0
"TF_AT1G28050","MODULE1",0.384523809523809,21,0,0
"TF_AT1G01060","MODULE1",0.619940476190476,7,0,0
"TF_AT1G49720","MODULE1",0.619940476190476,7,0,0
"TF_AT2G47890","MODULE1",0.613690476190476,9,0,0
"TF_AT2G46830","MODULE1",0.599107142857143,13,0,0
"TF_AT3G63350","MODULE2",0.24077380952381,25,0,0
"TF_AT1G18710","MODULE2",0.60327380952381,11,0,0
"TF_AT2G26150","MODULE2",0.505357142857143,17.5,0,0
"TF_AT3G17609","MODULE3",0.322023809523809,23,0,0
"TF_AT3G02380","MODULE3",0.717857142857143,5,0,0
"TF_AT3G09600","MODULE3",0.75952380952381,2.5,0,0
"TF_AT3G07650","MODULE3",0.603273809523809,12,0,0
"TF_AT1G01060","MODULE3",0.75952380952381,2.5,0,0
"TF_AT1G49720","MODULE3",0.75952380952381,2.5,0,0
"TF_AT2G47890","MODULE3",0.75952380952381,2.5,0,0
"TF_AT5G37260","MODULE4",0.313690476190476,24,0,0
"TF_AT3G63350","MODULE4",0.23452380952381,26,0,0
"TF_AT3G58120","MODULE4",0.130357142857143,28,0,0
"TF_AT3G56980","MODULE4",0.20327380952381,27,0,0
"TF_AT1G18710","MODULE4",0.374107142857143,22,0,0
"TF_AT2G36080","MODULE4",0.405357142857143,19.5,0,0
"TF_AT2G26150","MODULE4",0.405357142857143,19.5,0,0
