GeneSet	Regulator	Symbol	CO	PD	PWM_num	PWM_source	PWM_name	rank	p-value	q-value	#hits	hits	PDtargets
1	AT2G01818	AT2G01818	0	na	PWM3443	DAP-seq	AT2G01818_col	1	2.62210237123307e-57	4.701429551620894e-54	153	AT3G46230,AT3G12580,AT3G24500,AT1G59860,AT2G29500,AT5G12030,AT5G48570,AT5G52640,AT1G07350,AT4G10250,AT4G25200,AT5G56030,AT5G56010,AT3G13470,AT1G74310,AT4G27670,AT2G46240,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT2G32120,AT5G51440,AT4G12400,AT3G44110,AT5G25450,AT1G30070,AT3G09440,AT2G26150,AT2G19310,AT3G25230,AT2G36460,AT2G20560,AT3G09350,AT3G07090,AT5G09590,AT3G16050,AT2G28000,AT1G65980,AT5G54940,AT1G62510,AT3G23990,AT5G64400,AT1G14980,AT1G03070,AT5G20720,AT1G52560,AT2G04030,AT1G79550,AT1G79920,AT2G29450,AT4G22670,AT5G35320,AT4G23570,AT1G76080,AT3G04120,AT1G07890,AT1G55530,AT5G11740,AT5G58590,AT3G13520,AT4G09150,AT4G14270,AT5G47830,AT3G08590,AT1G26800,ATCG00710,AT4G24280,AT2G02760,AT1G18330,AT1G74670,AT5G49910,AT1G09140,AT1G72660,AT1G55330,AT4G02920,AT5G22060,AT5G09810,AT5G47120,AT4G19430,ATCG00510,AT3G07770,AT3G53230,AT5G53400,AT5G65480,AT5G25280,AT3G63310,AT2G41160,AT2G25140,AT4G15420,AT5G19140,AT1G73480,AT5G06290,AT3G17611,AT4G36040,AT1G29150,AT1G62740,AT1G53730,AT3G62290,AT3G08970,AT4G11220,AT1G03860,AT1G13080,AT1G56300,AT1G19660,AT5G57660,AT5G40770,AT2G30000,AT5G01350,ATCG00500,AT1G64200,AT4G29330,AT1G11260,AT3G14200,AT1G66080,AT2G43630,AT1G21550,AT1G27090,AT5G05410,AT4G39520,AT5G58787,AT3G08690,AT2G27580,AT2G44120,AT3G09840,AT5G65430,AT4G22740,AT5G04410,AT1G71000,AT3G14620,AT3G57880,AT5G66880,AT4G21810,AT5G65390,AT1G31335,AT5G42300,AT3G12760,AT2G21130,AT4G02980,AT3G07150,AT5G50460,ATMG01360,AT4G26780,AT5G62020,AT4G30490,AT1G62390,AT2G36530,ATMG00630,AT4G11660,AT1G56170,AT2G36950,AT3G13860	na
1	AT3G22830	AT-HSFA6B	3	na	PWM3178	DAP-seq	HSFA6B_col	2	9.307437377056831e-55	8.344117608531449e-52	150	AT3G46230,AT3G12580,AT3G24500,AT1G59860,AT2G29500,AT5G12030,AT5G48570,AT5G52640,AT1G07350,AT4G10250,AT3G10020,AT4G25200,AT5G56030,AT5G56010,AT3G13470,AT1G74310,AT4G27670,AT2G46240,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT5G37670,AT2G32120,AT5G51440,AT4G12400,AT3G44110,AT5G25450,AT1G30070,AT3G09440,AT2G26150,AT2G19310,AT3G25230,AT2G36460,AT2G20560,AT3G09350,AT3G07090,AT5G09590,AT3G16050,AT2G28000,AT1G65980,AT5G54940,AT1G62510,AT3G23990,AT1G14980,AT1G03070,AT5G20720,AT1G52560,AT2G04030,AT1G79550,AT1G79920,AT2G29450,AT4G22670,AT5G35320,AT4G23570,AT1G76080,AT3G04120,AT1G07890,AT1G55530,AT5G11740,AT5G58590,AT3G13520,AT4G09150,AT4G14270,AT5G47830,AT3G08590,AT1G26800,ATCG00710,AT4G24280,AT2G02760,AT1G18330,AT1G74670,AT5G49910,AT1G09140,AT1G72660,AT4G02920,AT5G22060,AT5G09810,AT5G47120,ATCG00510,AT3G07770,AT3G53230,AT5G53400,AT5G65480,AT5G25280,AT3G63310,AT2G41160,AT2G25140,AT4G15420,AT5G19140,AT1G73480,AT5G06290,AT1G29150,AT1G53730,AT3G62290,AT3G08970,AT4G11220,AT1G03860,AT1G13080,AT1G56300,AT1G19660,AT5G40770,AT5G20010,AT2G30000,AT5G01350,ATCG00500,AT1G64200,AT4G29330,AT1G11260,AT3G14200,AT1G66080,AT2G43630,AT1G21550,AT1G27090,AT5G05410,AT4G39520,AT5G58787,AT3G08690,AT2G27580,AT2G44120,AT3G09840,AT4G13520,AT5G65430,AT4G22740,AT5G14320,AT5G04410,AT1G71000,AT3G14620,AT3G57880,AT5G66880,AT5G65390,AT1G31335,AT5G42300,AT3G12760,AT2G21130,AT4G02980,AT3G07150,AT5G50460,ATMG01360,AT4G26780,AT5G62020,AT4G30490,AT1G62390,AT2G36530,ATMG00630,AT4G11660,AT1G56170,AT2G36950,AT3G13860	na
1	AT3G09735	AT3G09735	0	na	PWM3452	DAP-seq	AT3G09735_col	3	9.307437377056831e-55	8.344117608531449e-52	150	AT3G46230,AT3G12580,AT3G24500,AT1G59860,AT2G29500,AT5G12030,AT5G48570,AT5G52640,AT1G07350,AT4G10250,AT4G25200,AT5G56030,AT5G56010,AT3G13470,AT1G74310,AT4G27670,AT2G46240,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT2G32120,AT5G51440,AT4G12400,AT3G44110,AT5G25450,AT1G30070,AT3G09440,AT2G26150,AT2G19310,AT3G25230,AT2G36460,AT2G20560,AT3G09350,AT3G07090,AT5G09590,AT3G16050,AT2G28000,AT1G65980,AT5G54940,AT1G62510,AT3G23990,AT5G64400,AT1G14980,AT1G03070,AT5G20720,AT1G52560,AT2G04030,AT1G79550,AT1G79920,AT2G29450,AT4G22670,AT4G23570,AT1G76080,AT3G04120,AT1G07890,AT1G55530,AT5G11740,AT5G58590,AT3G13520,AT4G09150,AT4G14270,AT5G47830,AT3G08590,AT1G26800,ATCG00710,AT4G24280,AT2G02760,AT1G18330,AT1G74670,AT5G49910,AT1G09140,AT1G72660,AT4G02920,AT5G22060,AT5G09810,AT5G47120,ATCG00510,AT5G58110,AT3G07770,AT3G53230,AT5G53400,AT5G65480,AT5G25280,AT3G63310,AT2G41160,AT2G25140,AT4G15420,AT5G19140,AT1G73480,AT5G06290,AT3G17611,AT4G36040,AT1G29150,AT1G53730,AT3G62290,AT3G08970,AT4G11220,AT1G03860,AT1G13080,AT1G56300,AT1G19660,AT5G57660,AT5G40770,AT2G30000,AT5G01350,ATCG00500,AT1G64200,AT4G29330,AT1G11260,AT3G14200,AT1G66080,AT2G43630,AT1G21550,AT1G27090,AT5G05410,AT4G39520,AT5G58787,AT3G08690,AT2G27580,AT2G44120,AT3G09840,AT5G65430,AT4G22740,AT5G04410,AT1G71000,AT3G14620,AT3G57880,AT5G66880,AT4G21810,AT5G65390,AT1G31335,AT5G42300,AT3G12760,AT2G21130,AT4G02980,AT3G07150,AT5G50460,ATMG01360,AT4G26780,AT5G62020,AT4G30490,AT1G62390,AT2G36530,ATMG00630,AT4G11660,AT1G56170,AT2G36950,AT3G13860	na
1	AT4G11660	AT-HSFB2B	110	na	PWM3172	DAP-seq	HSF7_col	4	1.265693210944773e-50	5.673469818059944e-48	145	AT3G46230,AT3G12580,AT1G53540,AT3G24500,AT1G59860,AT2G29500,AT5G12030,AT5G48570,AT5G52640,AT1G07350,AT4G10250,AT4G25200,AT5G56030,AT5G56010,AT3G13470,AT1G74310,AT2G46240,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT2G32120,AT5G51440,AT4G12400,AT3G44110,AT5G25450,AT1G30070,AT3G09440,AT2G26150,AT2G19310,AT3G25230,AT2G36460,AT2G20560,AT3G09350,AT3G07090,AT5G09590,AT3G16050,AT2G28000,AT1G65980,AT5G54940,AT1G62510,AT3G23990,AT5G64400,AT1G14980,AT1G03070,AT5G20720,AT1G52560,AT2G04030,AT1G79920,AT2G29450,AT4G22670,AT5G35320,AT4G23570,AT1G76080,AT3G04120,AT1G55530,AT5G11740,AT1G78380,AT5G58590,AT3G13520,AT4G09150,AT4G14270,AT5G47830,AT1G26800,AT4G24280,AT2G02760,AT1G18330,AT1G74670,AT5G49910,AT1G09140,AT1G72660,AT1G55330,AT4G02920,AT5G22060,AT5G09810,AT5G47120,ATCG00510,AT3G07770,AT3G53230,AT5G53400,AT5G65480,AT5G25280,AT3G63310,AT2G41160,AT5G11680,AT2G25140,AT4G15420,AT5G19140,AT1G73480,AT5G06290,AT3G17611,AT4G36040,AT1G29150,AT1G62740,AT1G53730,AT3G08970,AT4G11220,AT1G13080,AT1G56300,AT5G40770,AT2G30000,AT5G01350,ATCG00500,AT4G29330,AT1G11260,AT3G14200,AT1G66080,AT1G21550,AT1G27090,AT5G05410,AT1G01940,AT4G39520,AT5G58787,AT3G08690,AT2G27580,AT2G44120,AT3G09840,AT4G13520,AT5G65430,AT4G22740,AT5G04410,AT1G71000,AT3G14620,AT3G57880,AT5G66880,AT4G21810,AT5G65390,AT1G31335,AT5G42300,AT3G12760,AT2G21130,AT4G02980,AT5G50460,ATMG01360,AT4G26780,AT5G62020,AT4G30490,AT1G62390,AT2G36530,ATMG00630,AT4G11660,AT1G56170,AT2G36950,AT3G13860	na
1	AT2G15660	AGL95	3	na	PWM3433	DAP-seq	AGL95_col	5	5.185895988283133e-49	1.8596623013983314e-46	143	AT3G46230,AT3G12580,AT1G53540,AT3G24500,AT1G59860,AT2G29500,AT5G12030,AT5G48570,AT5G52640,AT1G07350,AT4G10250,AT3G10020,AT4G25200,AT5G56030,AT5G56010,AT3G13470,AT1G74310,AT4G27670,AT2G46240,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT5G37670,AT2G32120,AT5G51440,AT4G12400,AT3G44110,AT5G25450,AT1G30070,AT3G09440,AT2G26150,AT3G25230,AT2G36460,AT2G20560,AT3G09350,AT3G07090,AT5G09590,AT3G16050,AT2G28000,AT1G65980,AT5G54940,AT1G62510,AT3G23990,AT5G64400,AT1G14980,AT1G03070,AT5G20720,AT1G52560,AT2G04030,AT1G79920,AT2G29450,AT4G22670,AT4G23570,AT1G76080,AT3G04120,AT1G07890,AT1G55530,AT5G11740,AT5G58590,AT3G13520,AT4G09150,AT4G14270,AT5G47830,AT3G08590,AT1G26800,ATCG00710,AT4G24280,AT2G02760,AT1G18330,AT1G74670,AT5G49910,AT1G09140,AT1G72660,AT4G23493,AT4G02920,AT5G22060,AT5G09810,AT5G47120,AT3G07770,AT3G53230,AT5G53400,AT5G65480,AT5G25280,AT2G41160,AT2G25140,AT5G19140,AT5G06290,AT4G36040,AT1G29150,AT1G62740,AT1G53730,AT3G08970,AT4G11220,AT1G13080,AT1G56300,AT1G19660,AT5G40770,AT2G30000,AT5G01350,AT1G64200,AT4G29330,AT1G11260,AT3G14200,AT1G66080,AT1G21550,AT1G27090,AT5G05410,AT4G39520,AT5G58787,AT3G08690,AT2G27580,AT2G44120,AT3G09840,AT5G65430,AT4G22740,AT2G34590,AT5G04410,AT1G71000,AT3G14620,AT3G57880,AT5G66880,AT4G21810,AT5G65390,AT1G31335,AT5G42300,AT3G12760,AT2G21130,AT4G02980,AT3G07150,AT5G50460,ATMG01360,AT4G26780,AT5G62020,AT4G30490,AT1G62390,AT5G02810,AT2G36530,ATMG00630,AT4G11660,AT1G56170,AT2G36950	na
1	AT3G02990	ATHSFA1E	11	0	PWM3174	DAP-seq	HSFA1E_col	6	3.253096443687094e-48	9.721336539218265e-46	142	AT3G46230,AT3G12580,AT1G53540,AT3G24500,AT1G59860,AT2G29500,AT5G12030,AT5G48570,AT5G52640,AT1G07350,AT4G10250,AT4G25200,AT5G56030,AT5G56010,AT3G13470,AT1G74310,AT4G27670,AT2G46240,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT2G32120,AT5G51440,AT4G12400,AT3G44110,AT5G25450,AT3G09440,AT2G26150,AT2G19310,AT3G25230,AT2G36460,AT2G20560,AT5G09590,AT3G16050,AT2G28000,AT1G65980,AT5G54940,AT1G62510,AT3G23990,AT5G64400,AT1G14980,AT1G03070,AT5G20720,AT1G52560,AT2G04030,AT1G79920,AT2G29450,AT4G22670,AT4G23570,AT1G76080,AT3G04120,AT1G55530,AT5G11740,AT5G58590,AT3G13520,AT4G09150,AT4G14270,AT5G47830,AT3G08590,AT1G26800,AT4G24280,AT2G02760,AT1G18330,AT1G74670,AT5G49910,AT1G09140,AT1G72660,AT1G55330,AT4G02920,AT5G22060,AT5G09810,AT5G47120,ATCG00510,AT5G58110,AT2G46220,AT3G07770,AT3G53230,AT5G53400,AT5G65480,AT5G25280,AT3G63310,AT2G41160,AT2G25140,AT4G15420,AT5G19140,AT5G06290,AT3G17611,AT1G29150,AT1G62740,AT3G62290,AT3G08970,AT4G11220,AT1G67870,AT2G33590,AT1G13080,AT1G56300,AT5G57660,AT5G40770,AT2G30000,AT5G01350,ATCG00500,AT4G29330,AT1G11260,AT3G14200,AT1G66080,AT2G43630,AT1G27090,AT5G05410,AT4G39520,AT3G08690,AT2G27580,AT2G44120,AT3G09840,AT5G65430,AT4G22740,AT5G04410,AT1G71000,AT3G14620,AT3G57880,AT5G66880,AT4G21810,AT5G65390,AT1G31335,AT5G42300,AT3G12760,AT2G21130,AT4G02980,AT3G07150,AT5G50460,ATMG01360,AT4G26780,AT5G62020,AT4G30490,AT2G36530,ATMG00630,AT4G11660,AT3G51840,AT1G56170,AT2G36950,AT3G13860	
1	AT1G46264	AT-HSFB4	0	na	PWM3182	DAP-seq	HSFB4_col	7	3.253096443687094e-48	9.721336539218265e-46	142	AT3G46230,AT3G12580,AT1G53540,AT3G24500,AT1G59860,AT2G29500,AT5G48570,AT5G52640,AT1G07350,AT4G10250,AT3G10020,AT4G25200,AT5G56030,AT5G56010,AT3G13470,AT1G74310,AT2G46240,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT2G32120,AT5G51440,AT4G12400,AT3G44110,AT5G25450,AT1G30070,AT3G09440,AT2G26150,AT2G19310,AT3G25230,AT2G36460,AT2G20560,AT3G09350,AT3G07090,AT5G09590,AT3G16050,AT2G28000,AT1G65980,AT5G54940,AT1G62510,AT3G23990,AT5G64400,AT1G14980,AT1G03070,AT5G20720,AT1G52560,AT2G04030,AT1G79920,AT2G29450,AT4G22670,AT5G35320,AT4G23570,AT1G76080,AT3G04120,AT1G07890,AT1G55530,AT5G11740,AT5G58590,AT3G13520,AT4G09150,AT4G14270,AT5G47830,AT1G26800,ATCG00710,AT4G24280,AT2G02760,AT1G18330,AT1G74670,AT5G49910,AT1G09140,AT4G02920,AT5G22060,AT5G09810,AT5G47120,ATCG00510,AT3G07770,AT3G53230,AT5G53400,AT5G65480,AT5G25280,AT2G41160,AT2G25140,AT5G19140,AT5G06290,AT4G36040,AT1G29150,AT1G62740,AT1G53730,AT1G30230,AT3G08970,AT4G11220,AT1G03860,AT1G13080,AT1G56300,AT1G19660,AT5G40770,AT2G30000,ATCG00500,AT4G29330,AT1G11260,AT3G14200,AT1G66080,AT1G21550,AT1G27090,AT5G05410,AT4G39520,AT5G58787,AT3G08690,AT2G27580,AT2G44120,AT3G09840,AT5G65430,AT4G22740,AT2G34590,AT5G14320,AT5G04410,AT1G71000,AT1G78630,AT3G57880,AT5G66880,AT4G21810,AT5G65390,AT1G31335,AT5G42300,ATMG00580,AT3G12760,AT2G21130,AT4G02980,AT5G50460,ATMG01360,AT4G26780,AT5G62020,AT4G30490,AT1G62390,AT5G02810,AT2G36530,AT4G11660,AT1G56170,AT2G36950,AT3G13860	na
1	AT1G23810	AT1G23810	0	na	PWM3440	DAP-seq	AT1G23810_col	8	3.253096443687094e-48	9.721336539218265e-46	142	AT3G46230,AT3G12580,AT1G53540,AT3G24500,AT1G59860,AT2G29500,AT5G12030,AT5G48570,AT5G52640,AT1G07350,AT4G10250,AT4G25200,AT5G56030,AT5G56010,AT3G13470,AT1G74310,AT4G27670,AT2G46240,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT2G32120,AT5G51440,AT4G12400,AT3G44110,AT5G25450,AT3G09440,AT2G26150,AT2G19310,AT3G25230,AT2G36460,AT2G20560,AT3G09350,AT3G07090,AT5G09590,AT3G16050,AT2G28000,AT1G65980,AT5G54940,AT2G37170,AT1G62510,AT3G23990,AT5G64400,AT1G14980,AT1G03070,AT5G20720,AT1G52560,AT2G04030,AT1G79920,AT2G29450,AT4G22670,AT5G35320,AT4G23570,AT1G76080,AT3G04120,AT1G55530,AT5G11740,AT5G58590,AT3G13520,AT4G09150,AT4G14270,AT5G47830,AT1G26800,AT4G24280,AT2G02760,AT1G18330,AT1G74670,AT5G49910,AT1G09140,AT1G72660,AT4G02920,AT5G22060,AT5G09810,AT5G47120,ATCG00510,AT3G07770,AT3G53230,AT5G53400,AT5G65480,AT5G25280,AT2G41160,AT2G25140,AT4G15420,AT5G19140,AT1G73480,AT5G06290,AT3G17611,AT4G36040,AT1G29150,AT1G53730,AT3G62290,AT3G08970,AT4G11220,AT1G13080,AT5G40770,AT2G30000,AT5G01350,ATCG00500,AT4G29330,AT1G11260,AT3G14200,AT1G66080,AT2G43630,AT1G21550,AT1G27090,AT5G05410,AT4G39520,AT3G08690,AT2G27580,AT2G44120,AT3G09840,AT4G13520,AT5G65430,AT4G22740,AT5G04410,AT1G71000,AT3G14620,AT3G57880,AT5G66880,AT4G21810,AT5G65390,AT1G31335,AT5G42300,AT3G12760,AT2G21130,AT4G02980,AT3G07150,AT5G50460,ATMG01360,AT4G26780,AT5G62020,AT4G30490,AT1G62390,AT2G36530,ATMG00630,AT4G11660,AT3G51840,AT1G56170,AT2G36950,AT3G13860	na
1	AT5G16820	ATHSF3	0	na	PWM3170	DAP-seq	HSF3_col	9	2.013333691583708e-47	4.0110081211217655e-45	141	AT3G46230,AT3G12580,AT1G53540,AT3G24500,AT1G59860,AT2G29500,AT5G12030,AT5G48570,AT5G52640,AT1G07350,AT4G10250,AT3G10020,AT4G25200,AT5G56030,AT5G56010,AT3G13470,AT1G74310,AT4G27670,AT2G46240,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT2G32120,AT5G51440,AT4G12400,AT3G44110,AT5G25450,AT3G09440,AT2G26150,AT3G25230,AT2G36460,AT2G20560,AT3G09350,AT5G09590,AT5G15450,AT3G16050,AT2G28000,AT1G65980,AT5G54940,AT1G62510,AT2G36830,AT3G23990,AT1G14980,AT1G03070,AT1G52560,AT1G79920,AT2G29450,AT4G22670,AT4G23570,AT1G76080,AT3G04120,AT1G55530,AT5G11740,AT5G58590,AT3G13520,AT4G09150,AT4G14270,AT5G47830,AT3G08590,AT1G26800,AT3G09640,AT4G24280,AT2G02760,AT1G18330,AT1G74670,AT5G15350,AT5G49910,AT1G72660,AT4G02920,AT5G22060,AT5G09810,AT5G47120,AT5G58110,AT2G46220,AT3G07770,AT3G53230,AT5G53400,AT5G65480,AT5G25280,AT3G63310,AT2G41160,AT2G25140,AT4G15420,AT5G19140,AT5G06290,AT1G29150,AT1G62740,AT1G53730,AT3G62290,AT3G08970,AT4G11220,AT2G33590,AT1G13080,AT1G56300,AT5G57660,AT5G40770,AT2G30000,AT5G01350,AT4G29330,AT1G11260,AT3G14200,AT1G66080,AT2G43630,AT1G21550,AT1G27090,AT5G05410,AT4G39520,AT5G58787,AT3G08690,AT2G27580,AT5G56600,AT3G09840,AT5G65430,AT4G22740,AT5G15090,AT5G14320,AT5G04410,AT1G71000,AT3G14620,AT3G57880,AT5G66880,AT5G65390,AT1G31335,AT3G12760,AT2G21130,AT4G02980,AT3G07150,AT5G50460,ATMG01360,AT4G26780,AT5G62020,AT4G30490,AT5G02810,AT2G36530,ATMG00630,AT4G11660,AT1G56170,AT2G36950,AT3G13860	na
1	AT5G43840	AT-HSFA6A	6	16	PWM3176	DAP-seq	HSFA6A_col	10	1.2293517929314209e-46	2.2042277647260377e-44	140	AT3G46230,AT3G12580,AT3G24500,AT1G59860,AT2G29500,AT5G12030,AT5G48570,AT5G52640,AT1G07350,AT4G10250,AT3G10020,AT4G25200,AT5G56030,AT5G56010,AT3G13470,AT2G46240,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT2G32120,AT5G51440,AT4G12400,AT3G44110,AT5G25450,AT3G09440,AT2G26150,AT3G25230,AT2G36460,AT2G20560,AT3G09350,AT3G07090,AT5G09590,AT3G16050,AT2G28000,AT1G65980,AT5G54940,AT1G62510,AT2G36830,AT3G23990,AT5G64400,AT1G14980,AT1G03070,AT1G52560,AT2G04030,AT1G79550,AT1G79920,AT2G29450,AT4G22670,AT4G23570,AT1G76080,AT3G04120,AT1G07890,AT1G55530,AT5G11740,AT5G58590,AT3G13520,AT4G09150,AT4G14270,AT5G47830,AT3G08590,AT1G26800,AT3G09640,AT4G24280,AT2G02760,AT1G18330,AT1G74670,AT5G15350,AT5G49910,AT1G72660,AT4G02920,AT5G22060,AT5G09810,AT5G47120,AT5G58110,AT2G46220,AT3G07770,AT3G53230,AT5G53400,AT5G65480,AT5G25280,AT2G41160,AT2G25140,AT4G15420,AT5G19140,AT1G73480,AT5G06290,AT3G17611,AT4G36040,AT1G29150,AT1G53730,AT3G62290,AT3G08970,AT4G11220,AT1G03860,AT1G13080,AT1G19660,AT5G57660,AT5G40770,AT2G30000,AT5G01350,AT1G64200,AT4G29330,AT1G11260,AT3G14200,AT1G66080,AT2G43630,AT1G21550,AT1G27090,AT5G05410,AT3G08690,AT2G27580,AT2G44120,AT3G09840,AT5G65430,AT4G22740,AT5G14320,AT5G04410,AT1G71000,AT3G14620,AT5G66090,AT3G57880,AT5G66880,AT5G65390,AT1G31335,AT5G42300,AT3G12760,AT2G21130,AT4G02980,AT5G50460,AT4G26780,AT5G62020,AT4G30490,AT1G62390,AT2G36530,ATMG00630,AT4G11660,AT1G56170,AT2G36950	AT3G12580,AT3G24500,AT1G07350,AT3G13470,AT1G67360,AT2G26150,AT5G09590,AT5G20720,AT1G55530,AT1G26800,AT4G24280,AT1G18330,AT2G25140,AT1G80440,AT5G62020,AT4G11660
