GeneSet	Regulator	Symbol	CO	PD	PWM_num	PWM_source	PWM_name	rank	p-value	q-value	#hits	hits	PDtargets
1	AT1G01060	LHY	4	na	PWM3338	DAP-seq	LHY1_col	1	4.675659242839417e-7	0.0008383457022411074	134	AT5G42900,AT2G40080,AT2G23910,AT3G42090,AT4G33980,AT3G07650,AT4G33985,AT1G07050,AT4G34950,AT1G11210,AT4G33990,AT3G58590,AT5G40180,AT2G01390,AT4G07840,AT2G28085,AT2G02120,AT4G14640,AT3G45090,AT4G04330,AT4G36560,AT5G02340,AT2G26560,AT4G30650,AT2G22450,AT1G16850,AT4G16146,AT1G28050,AT1G76790,AT3G50120,AT2G33830,AT3G05790,AT3G25610,AT3G05630,AT3G49580,AT3G56260,AT5G44010,AT3G20810,AT4G11650,AT3G05130,AT1G17600,AT3G25020,AT1G43080,AT5G06510,AT4G25950,AT5G52850,AT2G46130,AT2G36270,AT5G52340,AT1G64890,AT5G37260,AT1G47400,AT1G43840,AT5G26731,AT4G21270,AT4G02750,AT3G03170,AT2G40230,AT1G14680,AT3G22830,AT4G26660,AT2G16750,AT4G18850,AT3G59750,AT4G04900,AT2G29330,AT5G46820,AT3G24310,AT4G09020,AT2G42530,AT1G67970,AT2G17845,AT5G57080,AT4G10120,AT5G45200,AT1G10690,AT5G08640,AT4G27560,AT2G29940,AT2G43570,AT5G57220,AT5G49640,AT5G40010,AT1G12490,AT2G39710,AT5G51470,AT4G03800,AT2G44550,AT5G25210,AT5G02580,AT2G19250,AT5G63690,AT4G08450,AT2G06005,AT1G66830,AT5G02570,AT4G15340,AT3G30310,AT1G49220,AT5G26070,AT5G02190,AT1G70010,AT4G24650,AT1G07680,AT4G30660,AT1G76270,AT3G46970,AT1G71490,AT5G02220,AT2G06390,AT4G14400,AT5G32610,AT5G61380,AT5G27870,AT1G52840,AT5G57630,AT3G57520,AT4G31840,AT3G43210,AT5G46050,AT5G56700,AT1G75880,AT4G19120,AT2G10010,AT2G15830,AT3G44960,AT1G22275,AT5G06610,AT1G79450,AT4G21420,AT4G08680,AT5G11150,AT3G46500,AT3G53910	na
1	AT3G09600	At3g09600	5	na	PWM3310	DAP-seq	AT3G09600_col	2	0.000002153616147180307	0.0019307168759471452	131	AT5G42900,AT2G40080,AT2G23910,AT3G42090,AT4G33980,AT1G17665,AT3G07650,AT4G33985,AT1G07050,AT1G71060,AT4G34950,AT1G11210,AT4G33990,AT3G58590,AT5G40180,AT2G01390,AT2G28085,AT4G00160,AT2G02120,AT4G14640,AT3G45090,AT5G36710,AT4G04330,AT4G36560,AT2G26560,AT4G30650,AT2G22450,AT1G16850,AT4G16146,AT1G28050,AT1G76790,AT2G33830,AT3G05790,AT3G25610,AT3G05630,AT2G04310,AT3G49580,AT1G09680,AT3G56260,AT5G44010,AT2G11220,AT3G20810,AT3G05130,AT1G17600,AT3G25020,AT1G43080,AT4G25950,AT5G52850,AT2G46130,AT1G15480,AT2G36270,AT5G52340,AT1G64890,AT5G37260,AT1G47400,AT5G26731,AT4G02750,AT2G40230,AT1G14680,AT3G22830,AT4G26660,AT2G16750,AT4G18850,AT3G59750,AT4G04900,AT2G29330,AT3G24310,AT4G09020,AT5G51610,AT2G42530,AT1G67970,AT5G57080,AT5G45200,AT1G10690,AT5G08640,AT4G27560,AT2G43570,AT5G57220,AT2G32290,AT5G40010,AT1G12490,AT2G39710,AT5G51470,AT4G03800,AT2G44550,AT5G25210,AT5G02580,AT2G19250,AT4G08450,AT2G06005,AT5G45240,AT1G66830,AT5G02570,AT4G15340,AT3G30310,AT1G49220,AT5G26070,AT5G02190,AT1G70010,AT1G61950,AT4G24650,AT1G07680,AT4G30660,AT1G76270,AT3G46970,AT1G71490,AT5G02220,AT1G16800,AT2G06390,AT5G32610,AT5G61380,AT5G61350,AT5G27870,AT3G48360,AT5G57630,AT3G57520,AT4G31840,AT3G43210,AT5G46050,AT5G56700,AT4G19120,AT2G10010,AT2G15830,AT3G44960,AT5G06610,AT1G79450,AT2G34100,AT4G08680,AT5G11150,AT3G46500,AT3G53910	na
1	AT5G02840	LCL1	0	0	PWM3336	DAP-seq	LCL1_col	3	0.000022814978883111662	0.013635752379139736	126	AT5G42900,AT2G40080,AT2G23910,AT3G42090,AT4G33980,AT3G07650,AT4G33985,AT1G07050,AT1G71060,AT4G34950,AT1G11210,AT4G33990,AT3G58590,AT5G40180,AT2G01390,AT4G07840,AT2G28085,AT4G00160,AT2G02120,AT4G14640,AT3G45090,AT4G04330,AT4G36560,AT2G26560,AT4G30650,AT2G22450,AT1G16850,AT4G16146,AT1G28050,AT2G33830,AT3G05790,AT3G25610,AT3G05630,AT5G17460,AT3G49580,AT1G09680,AT3G56260,AT5G44010,AT2G11220,AT3G20810,AT3G05130,AT3G25020,AT1G43080,AT5G06510,AT4G25950,AT5G52850,AT2G46130,AT1G15480,AT2G36270,AT4G34750,AT5G52340,AT1G64890,AT5G37260,AT5G26731,AT1G66440,AT3G03170,AT2G40230,AT1G14680,AT3G22830,AT4G26660,AT2G16750,AT3G59750,AT4G04900,AT2G29330,AT3G24310,AT4G09020,AT2G42530,AT5G47240,AT1G67970,AT5G57080,AT4G10120,AT5G45200,AT1G10690,AT4G27560,AT1G56010,AT5G57220,AT5G49640,AT5G40010,AT1G12490,AT2G39710,AT5G51470,AT4G03800,AT2G44550,AT5G25210,AT5G02580,AT2G19250,AT4G08450,AT2G06005,AT1G66830,AT5G02570,AT4G15340,AT3G30310,AT1G49220,AT5G26070,AT5G02190,AT1G70010,AT1G61950,AT5G51870,AT4G24650,AT4G30660,AT1G76270,AT3G46970,AT1G71490,AT5G02220,AT2G06390,AT5G32610,AT5G61380,AT5G27870,AT3G48360,AT1G52840,AT5G57630,AT4G31840,AT3G43210,AT5G46050,AT5G56700,AT4G19120,AT2G10010,AT2G15830,AT3G44960,AT1G22275,AT5G06610,AT1G79450,AT4G21420,AT4G08680,AT5G11150,AT3G53910	
1	AT2G28920	AT2G28920	10	na	PWM3436	DAP-seq	AT2G28920_col	4	0.000022814978883111662	0.013635752379139736	126	AT5G42900,AT2G40080,AT2G23910,AT3G42090,AT4G33980,AT3G07650,AT4G33985,AT1G07050,AT4G34950,AT1G11210,AT4G33990,AT3G58590,AT5G40180,AT2G01390,AT4G07840,AT2G28085,AT3G59370,AT2G02120,AT3G45090,AT4G04330,AT4G36560,AT5G02340,AT2G26560,AT4G30650,AT1G31690,AT2G33710,AT2G22450,AT1G16850,AT4G16146,AT1G28050,AT1G76790,AT2G33830,AT3G05790,AT3G05630,AT3G49580,AT3G56260,AT5G44010,AT3G20810,AT4G11650,AT3G05130,AT1G17600,AT3G25020,AT1G43080,AT5G06510,AT4G25950,AT5G52850,AT2G46130,AT5G52340,AT1G64890,AT5G37260,AT1G47400,AT1G43840,AT5G26731,AT1G70920,AT4G21270,AT4G02750,AT3G03170,AT2G40230,AT1G14680,AT3G22830,AT4G26660,AT2G16750,AT4G18850,AT3G59750,AT4G04900,AT2G29330,AT5G46820,AT3G24310,AT4G09020,AT5G51610,AT2G42530,AT1G67970,AT5G57080,AT4G10120,AT5G45200,AT1G10690,AT5G08640,AT4G27560,AT5G57220,AT5G49640,AT1G12490,AT2G39710,AT5G51470,AT4G03800,AT2G44550,AT5G25210,AT5G02580,AT2G19250,AT5G63690,AT4G08450,AT2G06005,AT1G66830,AT5G02570,AT4G15340,AT3G30310,AT1G49220,AT5G26070,AT2G15930,AT5G02190,AT1G70010,AT4G24650,AT4G30660,AT1G76270,AT3G46970,AT1G71490,AT5G02220,AT2G06390,AT4G14400,AT5G32610,AT5G61380,AT5G27870,AT1G52840,AT5G57630,AT4G31840,AT3G43210,AT5G56700,AT1G75880,AT4G19120,AT2G10010,AT2G15830,AT3G44960,AT1G22275,AT1G79450,AT5G11150,AT3G46500,AT3G53910	na
2	AT3G10113	AT3G10113	21	na	PWM3312	DAP-seq	AT3G10113_col	1	6.044627891593652e-9	0.000010838017809627418	41	AT5G62360,AT3G53250,AT3G42860,AT2G15880,AT2G38465,AT5G24470,AT2G07440,AT2G39920,AT1G20030,AT1G69940,AT2G21660,AT1G66310,AT4G33310,AT1G56300,AT3G62550,AT3G28870,ATMG00280,ATMG01220,AT1G49720,AT5G46520,AT5G44210,AT5G09630,AT5G16560,AT1G28330,AT4G01130,AT5G67480,AT5G44830,AT5G06690,ATMG00650,AT5G17850,AT3G04060,AT5G59570,AT2G21130,AT5G51570,AT4G26670,AT5G48250,AT1G67370,AT4G03680,AT1G76590,AT2G21640,AT2G25730	na
2	AT3G10113	AT3G10113	21	na	PWM959	CisBP	M1219_1.01	4	6.044627891593652e-9	0.000010838017809627418	41	AT1G48720,AT5G62360,AT3G53250,AT4G26800,AT3G59720,AT5G24470,AT2G07440,AT2G40340,AT2G39920,AT1G19370,AT1G20030,AT2G21660,AT1G66310,AT1G56300,AT3G62550,AT3G28870,ATMG00280,AT5G46520,AT5G44210,AT5G09630,AT1G28330,AT4G01130,AT4G01340,AT5G06690,AT5G17850,AT5G59570,AT2G21130,AT3G59820,AT5G03720,AT5G33380,AT5G51570,AT4G26670,AT2G15890,AT5G26020,AT5G48250,AT5G51860,AT1G67370,AT1G76590,AT2G21640,AT2G25730,ATMG00640	na
2	AT5G17300	RVE1	1	na	PWM3340	DAP-seq	RVE1_col	2	6.044627891593652e-9	0.000010838017809627418	41	AT5G62360,AT3G53250,AT2G15880,AT2G38465,AT5G24470,AT2G07440,AT2G39920,AT1G20030,AT1G69940,AT2G21660,AT1G66310,AT4G33310,AT1G56300,AT3G62550,AT3G28870,ATMG00280,ATMG01220,AT1G49720,AT5G44210,AT5G09630,AT1G28330,AT4G01130,AT5G67480,AT5G44830,AT5G06690,ATMG00650,AT5G17850,AT5G59570,AT2G21130,AT3G59820,AT5G03720,AT5G51570,AT4G26670,AT2G15890,AT5G48250,AT1G67370,AT4G03680,AT1G76590,AT2G21640,AT2G25730,AT3G10780	na
2	AT5G17300	RVE1	1	na	PWM1556	PBM		6	6.517594590147036e-8	0.000019476745166889393	39	AT1G53903,AT5G62360,AT3G53250,AT2G15880,AT1G36940,AT2G07440,AT2G40340,AT1G19370,AT1G20030,AT1G69940,AT2G37580,AT2G21660,AT4G33310,AT1G56300,AT3G62550,AT3G28870,AT1G49720,AT2G25930,AT5G44210,AT5G09630,AT1G28330,AT4G01130,AT5G67480,AT5G44830,AT5G06690,AT3G04060,AT5G59570,AT2G21130,AT3G59820,AT5G33380,AT4G26670,AT2G15890,AT5G48250,AT1G67370,AT1G76590,AT2G48150,AT5G61650,AT2G25730,AT3G04130	na
2	AT1G18330	EPR1	15	na	PWM958	CisBP	M1219_1.01	3	6.044627891593652e-9	0.000010838017809627418	41	AT1G48720,AT5G62360,AT3G53250,AT4G26800,AT3G59720,AT5G24470,AT2G07440,AT2G40340,AT2G39920,AT1G19370,AT1G20030,AT2G21660,AT1G66310,AT1G56300,AT3G62550,AT3G28870,ATMG00280,AT5G46520,AT5G44210,AT5G09630,AT1G28330,AT4G01130,AT4G01340,AT5G06690,AT5G17850,AT5G59570,AT2G21130,AT3G59820,AT5G03720,AT5G33380,AT5G51570,AT4G26670,AT2G15890,AT5G26020,AT5G48250,AT5G51860,AT1G67370,AT1G76590,AT2G21640,AT2G25730,ATMG00640	na
2	AT1G18330	EPR1	15	na	PWM3334	DAP-seq	EPR1_col	14	0.00008403149333902784	0.01076203339691978	32	AT5G62360,AT2G15880,AT5G24470,AT1G36940,AT2G07440,AT1G20030,AT1G69940,AT2G21660,AT4G33310,AT1G56300,AT3G62550,AT3G28870,ATMG00280,AT1G49720,AT1G28330,AT4G01130,AT5G67480,AT5G44830,AT5G06690,AT3G04060,AT5G59570,AT2G21130,AT5G03720,AT4G26670,AT2G15890,AT5G48250,AT1G67370,AT4G03680,AT1G76590,AT2G48150,AT2G25730,AT3G10780	na
