GeneSet	Regulator	Symbol	CO	PD	PWM_num	PWM_source	PWM_name	rank	p-value	q-value	#hits	hits	PDtargets
1	AT3G22830	AT-HSFA6B	3	na	PWM3178	DAP-seq	HSFA6B_col	1	1.1874845958352127e-29	2.1291598803325362e-26	141	AT3G46230,AT1G59860,AT2G29500,AT5G12030,AT5G48570,AT5G52640,AT4G10250,AT3G10020,AT4G25200,AT1G74310,AT4G27670,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT5G37670,AT2G32120,AT5G51440,AT4G12400,AT5G25450,AT2G19310,AT2G36460,AT1G65980,AT3G23990,AT1G03070,AT1G52560,AT1G79920,AT4G22670,AT5G11740,AT5G58590,AT3G13520,AT4G14270,AT5G47830,AT3G08590,ATCG00710,AT4G24280,AT2G02760,AT1G09140,AT1G72660,AT5G09810,AT5G47120,AT3G07770,AT3G53230,AT5G25280,AT2G41160,AT5G19140,AT5G06290,AT1G53730,AT3G62290,AT4G11220,AT1G03860,AT5G02160,AT1G56300,AT1G19660,AT5G40770,AT5G20010,AT2G30000,AT5G01350,AT1G64200,AT1G11260,AT1G27090,AT5G05410,AT4G39520,AT5G58787,AT3G08690,AT3G09840,AT4G13520,AT5G65430,AT4G22740,AT1G71000,AT3G14620,AT3G57880,AT5G65390,AT5G42300,AT3G12760,AT2G21130,AT4G02980,AT3G07150,AT5G50460,ATMG01360,AT4G26780,AT2G36530,ATMG00630,AT2G36950,AT3G13860,AT4G30440,AT4G25340,AT2G40360,AT5G48480,AT5G10960,AT4G02230,AT1G29470,AT5G45130,AT2G21940,AT5G03740,AT1G78150,AT3G60210,AT1G51650,AT1G76490,AT5G49450,AT3G10800,AT4G14300,AT1G23180,AT2G45170,AT1G29260,AT3G50500,AT1G13990,AT2G23090,AT1G10230,AT1G55310,AT2G07723,AT5G10550,AT1G02300,AT1G66510,AT3G29810,AT1G48570,ATMG00640,AT4G32020,AT2G34750,AT2G18510,AT5G18340,AT5G61820,AT2G22540,AT3G03520,AT1G32400,AT5G57655,AT4G28390,AT5G17710,AT3G60130,AT2G27290,AT1G78600,AT1G57820,AT2G41730,AT5G43330,AT3G17210,AT5G14800,AT4G15680,AT5G60850,AT4G13670,AT5G12040	na
1	AT2G01818	AT2G01818	0	na	PWM3443	DAP-seq	AT2G01818_col	2	9.12662142144315e-25	8.182016104323784e-22	132	AT3G46230,AT1G59860,AT2G29500,AT5G12030,AT5G48570,AT5G52640,AT4G10250,AT4G25200,AT1G74310,AT4G27670,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT2G32120,AT5G51440,AT4G12400,AT5G25450,AT2G19310,AT2G36460,AT1G65980,AT3G23990,AT5G64400,AT1G03070,AT1G52560,AT1G79920,AT4G22670,AT5G11740,AT5G58590,AT3G13520,AT4G14270,AT5G47830,AT3G08590,ATCG00710,AT4G24280,AT2G02760,AT1G09140,AT1G72660,AT1G55330,AT5G09810,AT5G47120,AT4G19430,AT3G07770,AT3G53230,AT5G25280,AT2G41160,AT5G19140,AT5G06290,AT1G53730,AT3G62290,AT4G11220,AT1G03860,AT1G56300,AT1G19660,AT5G40770,AT2G30000,AT5G01350,AT1G64200,AT1G11260,AT1G27090,AT5G05410,AT4G39520,AT5G58787,AT3G08690,AT3G09840,AT5G65430,AT4G22740,AT1G71000,AT3G14620,AT3G57880,AT4G21810,AT5G65390,AT5G42300,AT3G12760,AT2G21130,AT4G02980,AT3G07150,AT5G50460,AT5G20160,ATMG01360,AT4G26780,AT2G36530,ATMG00630,AT2G36950,AT3G13860,AT4G30440,AT5G48480,AT5G19875,AT5G51970,AT1G29470,AT5G45130,AT2G21940,AT5G03740,AT1G78150,AT1G14400,AT1G51650,AT1G76490,AT3G10800,AT4G14300,AT5G44130,AT1G29260,AT3G50500,AT1G13990,AT2G23090,AT1G10230,AT1G55310,AT2G07723,AT5G10550,AT2G15790,AT1G02300,AT1G66510,AT3G29810,ATMG00640,AT4G32020,AT2G34750,AT2G18510,AT5G18340,AT5G61820,AT2G22540,AT3G03520,AT1G32400,AT5G57655,AT2G27290,AT1G78600,AT1G57820,AT2G41730,ATMG00060,AT5G14800,AT4G15680,AT4G13670,AT5G12040	na
1	AT3G09735	AT3G09735	0	na	PWM3452	DAP-seq	AT3G09735_col	3	9.12662142144315e-25	8.182016104323784e-22	132	AT3G46230,AT1G59860,AT2G29500,AT5G12030,AT5G48570,AT5G52640,AT4G10250,AT4G25200,AT1G74310,AT4G27670,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT2G32120,AT5G51440,AT4G12400,AT5G25450,AT2G19310,AT2G36460,AT1G65980,AT3G23990,AT5G64400,AT1G03070,AT1G52560,AT1G79920,AT4G22670,AT5G11740,AT5G58590,AT3G13520,AT4G14270,AT5G47830,AT3G08590,ATCG00710,AT4G24280,AT2G02760,AT1G09140,AT1G72660,AT5G09810,AT5G47120,AT5G58110,AT3G07770,AT3G53230,AT5G25280,AT2G41160,AT5G19140,AT5G06290,AT1G53730,AT3G62290,AT4G11220,AT1G03860,AT1G56300,AT1G19660,AT5G40770,AT2G30000,AT5G01350,AT1G64200,AT1G11260,AT1G27090,AT5G05410,AT4G39520,AT5G58787,AT3G08690,AT3G09840,AT5G65430,AT4G22740,AT1G71000,AT3G14620,AT3G57880,AT4G21810,AT5G65390,AT5G42300,AT3G12760,AT2G21130,AT4G02980,AT3G07150,AT5G50460,ATMG01360,AT4G26780,AT2G36530,ATMG00630,AT2G36950,AT3G13860,AT4G30440,AT5G48480,AT5G51970,AT1G29470,AT5G45130,AT2G21940,AT5G03740,AT1G78150,AT1G14400,AT1G51650,AT1G76490,AT3G10800,AT4G14300,AT1G29260,AT3G50500,AT1G13990,AT2G23090,AT1G10230,AT1G55310,AT2G07723,AT5G11340,AT5G10550,AT2G15790,AT1G02300,AT1G66510,AT3G29810,ATMG00640,AT4G32020,AT2G34750,AT2G18510,AT5G18340,AT5G61820,AT2G22540,AT3G03520,AT1G32400,AT5G57655,AT5G17710,AT2G27290,AT1G78600,AT1G57820,AT2G41730,ATMG00060,AT5G43330,AT3G17210,AT5G14800,AT4G15680,AT4G13670,AT5G12040	na
1	AT5G43840	AT-HSFA6A	11	1	PWM3176	DAP-seq	HSFA6A_col	4	3.0121256651415548e-24	1.350185329399702e-21	131	AT3G46230,AT1G59860,AT2G29500,AT5G12030,AT5G48570,AT5G52640,AT4G10250,AT3G10020,AT4G25200,AT5G59720,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT2G32120,AT5G51440,AT4G12400,AT5G25450,AT2G36460,AT1G65980,AT2G36830,AT3G23990,AT5G64400,AT1G03070,AT1G52560,AT1G79920,AT4G22670,AT5G11740,AT5G58590,AT3G13520,AT4G14270,AT5G47830,AT3G08590,AT3G09640,AT4G24280,AT2G02760,AT5G24490,AT1G72660,AT5G09810,AT5G47120,AT5G58110,AT3G07770,AT3G53230,AT5G25280,AT2G41160,AT5G19140,AT5G06290,AT1G53730,AT3G62290,AT4G11220,AT1G03860,AT1G19660,AT5G40770,AT2G30000,AT5G01350,AT1G64200,AT1G11260,AT4G05150,AT1G27090,AT5G05410,AT3G08690,AT3G09840,AT5G65430,AT4G22740,AT1G71000,AT5G61590,AT3G14620,AT5G66090,AT3G57880,AT5G65390,AT5G42300,AT3G12760,AT2G21130,AT4G02980,AT5G50460,AT4G26780,AT2G36530,ATMG00630,AT2G36950,AT4G25340,AT5G48480,AT5G51970,AT1G29470,AT5G45130,AT2G21940,AT5G03740,AT1G78150,AT1G14400,AT1G51650,AT1G76490,AT5G49450,AT3G10800,AT4G14300,AT1G29260,AT3G50500,AT4G19860,AT1G56280,AT2G23090,AT1G68490,AT1G10230,AT1G55310,AT2G07723,AT5G11340,AT5G10550,AT2G15790,AT1G02300,AT3G29810,AT4G32020,AT2G34750,AT2G18510,AT5G18340,AT5G61820,AT3G03520,AT2G20490,AT3G48070,AT5G57655,AT5G17710,AT3G60130,AT2G27290,AT1G57820,AT2G32690,AT4G11960,ATMG00060,AT5G43450,AT5G43330,AT5G14800,AT5G06360,AT4G15680,AT5G60850,AT5G12040	AT4G24280
1	AT2G15660	AGL95	6	na	PWM3433	DAP-seq	AGL95_col	5	3.171143627005363e-23	1.1371721046441231e-20	129	AT3G46230,AT1G53540,AT1G59860,AT2G29500,AT5G12030,AT5G48570,AT5G52640,AT4G10250,AT3G10020,AT4G25200,AT1G74310,AT5G59720,AT4G27670,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT5G37670,AT2G32120,AT5G51440,AT4G12400,AT5G25450,AT2G36460,AT1G65980,AT3G23990,AT5G64400,AT1G03070,AT1G52560,AT1G79920,AT4G22670,AT5G11740,AT5G58590,AT3G13520,AT4G14270,AT5G47830,AT3G08590,ATCG00710,AT4G24280,AT2G02760,AT1G09140,AT1G72660,AT4G23493,AT5G09810,AT5G47120,AT3G07770,AT3G53230,AT5G25280,AT2G41160,AT5G19140,AT5G06290,AT1G53730,AT4G11220,AT5G02160,AT1G56300,AT1G19660,AT5G40770,AT2G30000,AT5G01350,AT1G64200,AT1G11260,AT1G27090,AT5G05410,AT4G39520,AT5G58787,AT3G08690,AT3G09840,AT5G65430,AT4G22740,AT2G34590,AT1G71000,AT3G14620,AT3G57880,AT4G21810,AT5G65390,AT5G42300,AT3G12760,AT2G21130,AT4G02980,AT3G07150,AT5G50460,ATMG01360,AT4G26780,AT2G36530,ATMG00630,AT2G36950,AT4G30440,AT2G40360,AT5G48480,AT5G51970,AT1G29470,AT3G03270,AT5G45130,AT2G21940,AT5G03740,AT1G78150,AT1G14400,AT1G76490,AT5G49450,AT1G07140,AT3G10800,AT4G14300,AT2G40300,AT1G29260,AT3G50500,AT2G23090,AT1G10230,AT1G55310,AT5G10550,AT2G15790,AT1G66510,AT3G29810,AT4G32020,AT2G34750,AT5G18340,AT5G61820,AT2G22540,AT3G03520,AT5G57655,AT5G17710,AT3G60130,AT2G27290,AT1G78600,AT1G57820,AT5G43450,AT5G14800,AT4G15680,AT4G13670,AT5G12040	na
1	AT1G23810	AT1G23810	0	na	PWM3440	DAP-seq	AT1G23810_col	6	1.0114827767633658e-22	3.0226476978945246e-20	128	AT3G46230,AT1G53540,AT1G59860,AT2G29500,AT5G12030,AT5G48570,AT5G52640,AT4G10250,AT4G25200,AT1G74310,AT5G59720,AT4G27670,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT2G32120,AT5G51440,AT4G12400,AT5G25450,AT2G19310,AT2G36460,AT1G65980,AT2G37170,AT3G23990,AT5G64400,AT1G03070,AT1G52560,AT1G79920,AT4G22670,AT5G11740,AT5G58590,AT3G13520,AT4G14270,AT5G47830,AT4G24280,AT2G02760,AT1G09140,AT1G72660,AT5G09810,AT5G47120,AT3G07770,AT3G53230,AT5G25280,AT2G41160,AT5G19140,AT5G06290,AT1G53730,AT3G62290,AT4G11220,AT2G30600,AT5G40770,AT2G30000,AT5G01350,AT1G11260,AT1G27090,AT5G05410,AT4G39520,AT3G08690,AT3G09840,AT4G13520,AT5G65430,AT4G22740,AT1G71000,AT3G14620,AT3G57880,AT4G21810,AT5G65390,AT5G42300,AT3G12760,AT2G21130,AT4G02980,AT3G07150,AT5G50460,ATMG01360,AT4G26780,AT2G36530,ATMG00630,AT2G36950,AT3G13860,AT4G30440,AT4G25340,AT5G19875,AT5G51970,AT4G02230,AT1G29470,AT3G03270,AT5G45130,AT2G21940,AT5G03740,AT1G78150,AT1G14400,AT1G51650,AT1G76490,AT5G49450,AT1G07140,AT3G10800,AT4G14300,AT5G44130,AT1G29260,AT3G50500,AT2G23090,AT5G01740,AT1G10230,AT1G55310,AT2G07723,AT5G11340,AT5G10550,AT2G15790,AT1G02300,AT1G66510,AT3G29810,AT2G34750,AT2G18510,AT5G18340,AT5G61820,AT3G03520,AT2G20490,AT5G57655,AT5G17710,AT1G78600,AT1G57820,ATMG00060,AT3G17210,AT5G14800,AT4G15680,AT5G12040	na
1	AT5G16820	ATHSF3	2	na	PWM3170	DAP-seq	HSF3_col	7	9.942374925352964e-22	2.546668320165409e-19	126	AT3G46230,AT1G53540,AT1G59860,AT2G29500,AT5G12030,AT5G48570,AT5G52640,AT4G10250,AT3G10020,AT4G25200,AT1G74310,AT5G59720,AT4G27670,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT2G32120,AT5G51440,AT4G12400,AT5G25450,AT2G36460,AT1G65980,AT2G36830,AT3G23990,AT1G03070,AT1G52560,AT1G79920,AT4G22670,AT5G11740,AT5G58590,AT3G13520,AT4G14270,AT5G47830,AT3G08590,AT3G09640,AT4G24280,AT2G02760,AT5G24490,AT1G72660,AT5G09810,AT5G47120,AT5G58110,AT3G07770,AT3G53230,AT5G25280,AT2G41160,AT5G19140,AT5G06290,AT1G53730,AT3G62290,AT4G11220,AT2G33590,AT1G56300,AT5G40770,AT2G30000,AT5G01350,AT1G11260,AT1G27090,AT5G05410,AT4G39520,AT5G58787,AT3G08690,AT3G09840,AT5G65430,AT4G22740,AT5G15090,AT1G71000,AT3G14620,AT3G57880,AT5G65390,AT3G12760,AT2G21130,AT4G02980,AT3G07150,AT5G50460,ATMG01360,AT4G26780,AT2G36530,ATMG00630,AT2G36950,AT3G13860,AT4G30440,AT2G40360,AT5G48480,AT5G10960,AT4G15770,AT3G49220,AT1G29470,AT3G03270,AT5G45130,AT2G21940,AT5G03740,AT1G78150,AT3G60210,AT1G51650,AT2G25110,AT4G14300,AT1G29260,AT3G50500,AT4G19860,AT1G13990,AT1G56280,AT2G23090,AT1G68490,AT1G10230,AT1G55310,AT2G07723,AT5G11340,AT2G15790,AT1G66510,AT3G29810,AT2G34750,AT5G18340,AT5G61820,AT3G03520,AT1G32400,AT5G57655,AT3G60130,AT1G57820,AT4G16660,AT5G14800,AT4G15680,AT5G60850,AT5G12040	na
1	AT3G02990	ATHSFA1E	10	0	PWM3174	DAP-seq	HSFA1E_col	8	9.942374925352964e-22	2.546668320165409e-19	126	AT3G46230,AT1G53540,AT1G59860,AT2G29500,AT5G12030,AT5G48570,AT5G52640,AT4G10250,AT4G25200,AT1G74310,AT4G27670,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT2G32120,AT5G51440,AT4G12400,AT5G25450,AT2G19310,AT2G36460,AT1G65980,AT3G23990,AT5G64400,AT1G03070,AT1G52560,AT1G79920,AT4G22670,AT5G11740,AT5G58590,AT3G13520,AT4G14270,AT5G47830,AT3G08590,AT4G24280,AT2G02760,AT5G24490,AT1G09140,AT1G72660,AT1G55330,AT5G09810,AT5G47120,AT5G58110,AT3G07770,AT3G53230,AT5G25280,AT2G41160,AT5G19140,AT5G06290,AT3G62290,AT4G11220,AT1G67870,AT2G33590,AT5G25460,AT1G56300,AT5G40770,AT2G30000,AT5G01350,AT1G11260,AT1G27090,AT5G05410,AT4G39520,AT3G08690,AT3G09840,AT5G65430,AT4G22740,AT1G71000,AT3G14620,AT3G57880,AT4G21810,AT5G65390,AT5G42300,AT3G12760,AT2G21130,AT4G02980,AT3G07150,AT5G50460,ATMG01360,AT4G26780,AT2G36530,ATMG00630,AT2G36950,AT3G13860,AT4G30440,AT5G48480,AT5G19875,AT3G62560,AT1G29470,AT3G03270,AT5G45130,AT2G21940,AT5G03740,AT1G78150,AT1G76490,AT3G10800,AT4G14300,AT5G44130,AT5G67480,AT3G50500,AT1G13990,AT1G56280,AT2G23090,AT1G68490,AT1G10230,AT1G55310,AT2G07723,AT5G11340,AT5G10550,AT2G15790,AT1G02300,AT1G66510,AT3G29810,AT2G34750,AT5G18340,AT5G61820,AT3G03520,AT1G32400,AT5G57655,AT3G06660,AT1G78600,AT1G57820,ATMG00060,AT5G14800,AT4G15680,AT5G12040	
1	AT4G11660	AT-HSFB2B	82	na	PWM3172	DAP-seq	HSF7_col	9	9.331498775141717e-21	1.8590419226476775e-18	124	AT3G46230,AT1G53540,AT1G59860,AT2G29500,AT5G12030,AT5G48570,AT5G52640,AT4G10250,AT4G25200,AT1G74310,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT2G32120,AT5G51440,AT4G12400,AT5G25450,AT2G19310,AT2G36460,AT1G65980,AT3G23990,AT5G64400,AT1G03070,AT1G52560,AT1G79920,AT4G22670,AT5G11740,AT1G78380,AT5G58590,AT3G13520,AT4G14270,AT5G47830,AT4G24280,AT2G02760,AT1G09140,AT1G72660,AT1G55330,AT5G09810,AT5G47120,AT3G07770,AT3G53230,AT5G25280,AT2G41160,AT5G11680,AT5G19140,AT5G06290,AT1G53730,AT4G11220,AT5G02160,AT1G56300,AT5G40770,AT2G30000,AT5G01350,AT1G11260,AT1G27090,AT5G05410,AT1G01940,AT4G39520,AT5G58787,AT3G08690,AT3G09840,AT4G13520,AT5G65430,AT4G22740,AT1G71000,AT3G14620,AT3G57880,AT4G21810,AT5G65390,AT5G42300,AT3G12760,AT2G21130,AT4G02980,AT5G50460,ATMG01360,AT4G26780,AT2G36530,ATMG00630,AT2G36950,AT3G13860,AT4G30440,AT4G25340,AT5G48480,AT5G51970,AT4G02230,AT1G29470,AT3G03270,AT5G45130,AT2G21940,AT5G03740,AT1G78150,AT1G51650,AT1G76490,AT5G49450,AT3G10800,AT4G14300,AT1G36730,AT1G29260,AT3G50500,AT2G23090,AT1G10230,AT1G55310,AT2G07723,AT5G10550,AT2G15790,AT1G02300,AT1G66510,AT3G29810,ATMG00640,AT2G34750,AT5G18340,AT5G61820,AT3G03520,AT5G57655,AT5G17710,AT1G44414,AT1G78600,AT1G57820,ATMG00060,AT5G14800,AT4G13670,AT5G12040	na
1	AT1G46264	AT-HSFB4	0	na	PWM3182	DAP-seq	HSFB4_col	10	9.331498775141717e-21	1.8590419226476775e-18	124	AT3G46230,AT1G53540,AT1G59860,AT2G29500,AT5G48570,AT5G52640,AT4G10250,AT3G10020,AT4G25200,AT1G74310,AT5G12020,AT1G54050,AT5G12110,AT3G12050,AT2G47180,AT2G32120,AT5G51440,AT4G12400,AT5G25450,AT2G19310,AT2G36460,AT1G65980,AT3G23990,AT5G64400,AT1G03070,AT1G52560,AT1G79920,AT4G22670,AT5G11740,AT5G58590,AT3G13520,AT4G14270,AT5G47830,ATCG00710,AT4G24280,AT2G02760,AT1G09140,AT5G09810,AT5G47120,AT3G07770,AT3G53230,AT5G25280,AT2G41160,AT5G19140,AT5G06290,AT1G53730,AT1G30230,AT4G11220,AT1G03860,AT5G02160,AT1G56300,AT1G19660,AT5G40770,AT2G30000,AT1G11260,AT1G27090,AT5G05410,AT4G39520,AT5G58787,AT3G08690,AT3G09840,AT5G65430,AT4G22740,AT2G34590,AT1G71000,AT3G57880,AT4G21810,AT5G65390,AT5G42300,ATMG00580,AT3G12760,AT2G21130,AT4G02980,AT5G50460,ATMG01360,AT4G26780,AT2G36530,AT2G36950,AT3G13860,AT4G30440,AT5G04750,AT5G51970,AT1G29470,AT3G03270,AT5G45130,AT2G21940,AT5G03740,AT1G78150,AT1G14400,AT3G60210,AT1G51650,AT5G49450,AT1G07140,AT3G10800,AT4G14300,AT1G23180,AT1G36730,AT1G57680,AT1G29260,AT3G51420,AT3G50500,AT2G23090,AT5G01740,AT1G10230,AT1G55310,AT5G10550,AT1G02300,AT1G66510,AT3G29810,AT5G18340,AT5G61820,AT3G03520,AT2G20490,AT5G57655,AT4G28390,AT5G17710,AT3G60130,AT1G44414,AT1G78600,AT1G57820,AT5G43450,AT3G17210,AT5G14800,AT4G13670	na
