GeneSet	Regulator	Symbol	CO	PD	PWM_num	PWM_source	PWM_name	rank	p-value	q-value	#hits	hits	PDtargets
0	AT3G22830	AT-HSFA6B	4	na	PWM3178	DAP-seq	HSFA6B_col	1	2.342997251162611e-17	4.200994071334562e-14	136	AT2G26150,AT5G12020,AT1G52560,AT5G12030,AT4G25200,AT1G59860,AT1G74310,AT4G12400,AT5G37670,AT2G01520,AT5G51440,AT3G16050,AT1G72660,AT1G71000,AT5G48570,AT5G52640,AT3G12580,AT2G46240,AT2G20560,AT3G24500,AT1G54050,AT3G51910,AT5G25450,AT2G32120,AT1G30070,AT3G46370,AT1G21550,AT1G66080,AT3G63350,AT5G18340,AT4G29140,AT5G12110,AT2G01029,AT2G19310,AT2G36080,AT4G15660,AT3G09350,AT2G14770,AT4G08190,AT4G03710,AT4G15680,AT3G10020,AT1G26800,AT2G47180,AT3G42080,AT1G07350,AT5G47830,AT5G35320,AT4G29770,AT3G17110,AT3G08970,AT4G11660,AT5G52760,AT1G14200,AT5G09590,AT1G03070,AT3G07150,AT1G18330,AT1G41797,AT1G61340,AT3G53230,AT4G23570,AT3G07090,AT1G21120,AT2G32140,AT5G47160,AT3G32280,AT3G25930,AT2G25140,AT5G05410,AT3G49270,AT2G28120,AT5G22530,AT2G48140,AT2G36030,AT5G59620,AT5G23480,AT3G12050,AT1G73480,AT1G02700,AT3G59830,AT2G14510,AT3G25230,AT4G10240,AT1G56170,AT4G03840,AT2G25230,AT5G56030,AT4G13660,AT1G27730,AT5G62020,AT5G49450,AT3G14620,AT1G47780,AT4G23150,AT2G10460,AT4G23885,AT1G54640,AT1G32920,AT3G49620,AT2G25090,AT2G10465,AT4G08750,AT3G23990,AT5G04340,AT3G45280,AT3G30190,AT3G59730,AT4G30230,AT1G37537,AT1G55530,AT4G36000,AT2G21940,AT3G30660,AT1G10050,AT5G58590,AT3G23150,AT4G37260,AT3G18180,AT3G03520,AT3G15770,AT2G41160,AT5G53400,AT3G29810,AT2G03360,AT1G32010,AT2G11220,AT4G26780,AT1G39750,AT3G29732,AT2G07714,AT2G36460,AT5G58787,AT2G44500,AT3G07770,AT3G57880	na
0	AT4G11660	AT-HSFB2B	91	na	PWM3172	DAP-seq	HSF7_col	2	5.920060493185812e-17	5.3073342321410804e-14	135	AT2G26150,AT5G12020,AT1G52560,AT5G12030,AT4G25200,AT1G59860,AT1G74310,AT4G12400,AT5G51440,AT3G16050,AT1G72660,AT1G71000,AT5G48570,AT5G52640,AT3G12580,AT2G46240,AT2G20560,AT3G24500,AT1G54050,AT3G51910,AT5G25450,AT2G32120,AT1G30070,AT1G21550,AT1G66080,AT3G63350,AT5G18340,AT4G29140,AT5G12110,AT2G01029,AT2G19310,AT2G36080,AT4G15660,AT3G09350,AT4G08190,AT4G03710,AT1G26800,AT2G47180,AT3G42080,AT1G07350,AT5G47830,AT5G35320,AT4G29770,AT3G17110,AT3G08970,AT4G11660,AT1G14200,AT5G09590,AT1G03070,AT1G18330,AT1G41797,AT1G61340,AT3G53230,AT1G19180,AT4G23570,AT3G07090,AT1G21120,AT1G44414,AT2G32140,AT5G47160,AT3G32280,AT4G12550,AT3G25930,AT1G33500,AT2G25140,AT5G05410,AT2G28120,AT2G48140,AT2G36030,AT5G59620,AT5G23480,AT3G12050,AT1G73480,AT3G25230,AT4G10240,AT1G56170,AT1G31040,AT2G25230,AT5G56030,AT4G13660,AT1G43755,AT1G33813,AT5G62020,AT5G49450,AT1G01940,AT3G14620,AT1G47780,AT4G23150,AT2G10460,AT4G23885,AT3G42900,AT1G32920,AT3G49620,AT2G25090,AT2G10465,AT3G17611,AT3G23990,AT5G04340,AT2G15790,AT1G67270,AT3G45280,AT3G30190,AT3G59730,AT4G30230,AT1G37537,AT1G55530,AT4G36000,AT2G21940,AT3G30660,AT5G58590,AT4G37260,AT3G18180,AT3G03520,AT3G15770,AT2G41160,AT5G53400,AT3G29810,AT2G03360,AT1G32010,AT2G11220,AT1G19610,AT2G30640,AT2G23970,AT4G26780,AT1G39750,AT3G29732,AT3G42440,AT2G07714,AT2G36460,AT3G60940,AT5G58787,AT2G44500,AT5G39540,AT3G07770,AT3G57880	na
0	AT5G43840	AT-HSFA6A	1	15	PWM3176	DAP-seq	HSFA6A_col	3	3.6660319676946407e-16	2.191065106025497e-13	133	AT2G26150,AT5G12020,AT1G52560,AT5G12030,AT4G25200,AT1G59860,AT4G12400,AT2G01520,AT5G51440,AT3G16050,AT1G72660,AT1G71000,AT5G48570,AT5G52640,AT3G12580,AT2G46240,AT2G20560,AT3G24500,AT1G54050,AT3G51910,AT5G25450,AT2G32120,AT4G03810,AT1G21550,AT1G66080,AT3G63350,AT5G18340,AT5G12110,AT2G01029,AT2G36080,AT4G15660,AT3G09350,AT2G14770,AT4G08190,AT4G03710,AT4G15680,AT3G10020,AT1G26800,AT2G47180,AT3G42080,AT1G07350,AT5G47830,AT4G29770,AT3G17110,AT3G08970,AT4G11660,AT5G52760,AT1G14200,AT5G09590,AT1G03070,AT1G18330,AT1G41797,AT3G53230,AT4G23570,AT3G07090,AT1G21120,AT4G12410,AT1G62940,AT2G32140,AT5G47160,AT3G32280,AT4G12550,AT1G55560,AT2G25140,AT5G05410,AT3G49270,AT2G28120,AT5G22530,AT2G48140,AT2G36030,AT1G36020,AT5G59620,AT5G23480,AT3G12050,AT1G73480,AT3G25230,AT4G10240,AT1G56170,AT5G59820,AT4G03840,AT2G25230,AT5G56030,AT1G43755,AT4G25820,AT1G27730,AT4G24150,AT5G62020,AT5G49450,AT3G14620,AT4G23150,AT2G10460,AT4G23885,AT5G44640,AT1G32920,AT3G49620,AT2G25090,AT2G10465,AT4G08750,AT5G25350,AT3G17611,AT3G23990,AT5G04340,AT2G15790,AT2G03370,AT3G59730,AT1G55530,AT5G01380,AT4G36000,AT2G21940,AT4G27420,AT1G10050,AT5G58590,AT3G23150,AT4G37260,AT3G03520,AT3G15770,AT1G54330,AT2G41160,AT5G53400,AT3G29810,AT2G03360,AT1G32010,AT4G26780,AT1G39750,AT3G43770,AT4G08680,AT1G36550,AT2G36460,AT1G17060,AT2G44500,AT5G39540,AT3G07770,AT3G57880	AT2G26150,AT3G12580,AT3G24500,AT1G67360,AT1G26800,AT1G07350,AT4G11660,AT1G14200,AT5G09590,AT1G18330,AT1G80440,AT1G33500,AT2G25140,AT5G62020,AT1G55530
0	AT5G16820	ATHSF3	1	na	PWM3170	DAP-seq	HSF3_col	4	8.984091772021984e-16	4.0271191368088545e-13	132	AT2G26150,AT5G12020,AT1G52560,AT5G12030,AT4G25200,AT1G59860,AT1G74310,AT4G12400,AT5G51440,AT3G16050,AT1G72660,AT1G71000,AT5G48570,AT5G52640,AT3G12580,AT2G46240,AT2G20560,AT3G24500,AT1G54050,AT3G51910,AT5G25450,AT2G32120,AT3G46370,AT1G21550,AT1G66080,AT3G63350,AT5G18340,AT4G29140,AT5G12110,AT2G01029,AT2G36080,AT4G15660,AT3G09350,AT2G14770,AT4G08190,AT4G03710,AT4G15680,AT3G10020,AT1G26800,AT2G47180,AT3G42080,AT1G07350,AT5G47830,AT4G29770,AT3G17110,AT1G36030,AT3G08970,AT4G11660,AT5G52760,AT1G14200,AT5G09590,AT1G03070,AT3G07150,AT1G18330,AT3G53230,AT4G23570,AT1G21120,AT4G12410,AT1G62940,AT2G32140,AT5G47160,AT3G25930,AT1G55560,AT1G33500,AT2G25140,AT5G05410,AT3G49270,AT2G28120,AT5G22530,AT2G48140,AT5G35280,AT2G36030,AT5G59620,AT5G23480,AT3G12050,AT1G02700,AT3G25230,AT4G10240,AT1G56170,AT5G59820,AT2G25230,AT5G56030,AT1G27730,AT4G24150,AT5G62020,AT5G02810,AT3G14620,AT4G23150,AT2G10460,AT4G23885,AT3G42900,AT5G44640,AT1G32920,AT2G25090,AT2G10465,AT5G37030,AT3G23990,AT5G04340,AT2G15790,AT1G67270,AT3G45280,AT2G16620,AT3G59730,AT4G30230,AT1G55530,AT4G36000,AT2G21940,AT5G58590,AT3G23150,AT4G17250,AT3G03520,AT3G15770,AT5G59305,AT2G41160,AT5G53400,AT3G29810,AT2G03360,AT2G30640,AT2G23970,AT4G26780,AT1G39750,AT3G43770,AT2G07714,AT1G36550,AT2G36460,AT1G17060,AT4G28703,AT5G58787,AT2G44500,AT5G39540,AT3G07770,AT3G57880	na
0	AT2G01818	AT2G01818	7	na	PWM3443	DAP-seq	AT2G01818_col	5	8.984091772021984e-16	4.0271191368088545e-13	132	AT2G26150,AT5G12020,AT1G52560,AT5G12030,AT4G25200,AT1G59860,AT1G74310,AT4G12400,AT5G51440,AT3G16050,AT1G72660,AT1G71000,AT5G48570,AT5G52640,AT3G12580,AT2G46240,AT2G20560,AT3G24500,AT1G54050,AT3G51910,AT5G25450,AT2G32120,AT1G30070,AT1G21550,AT1G66080,AT3G63350,AT3G20180,AT5G18340,AT4G29140,AT5G12110,AT2G01029,AT2G19310,AT2G36080,AT4G15660,AT3G09350,AT2G14770,AT4G03710,AT4G15680,AT1G26800,AT2G47180,AT3G42080,AT1G07350,AT5G47830,AT5G35320,AT4G29770,AT3G17110,AT3G08970,AT4G11660,AT5G52760,AT1G14200,AT5G09590,AT1G03070,AT3G07150,AT1G18330,AT1G41797,AT3G53230,AT4G23570,AT3G07090,AT1G21120,AT1G62940,AT2G32140,AT5G47160,AT5G19875,AT4G12550,AT1G33500,AT2G25140,AT5G05410,AT3G49270,AT2G28120,AT5G22530,AT2G48140,AT2G36030,AT5G59620,AT5G23480,AT3G12050,AT1G73480,AT3G25230,AT4G10240,AT1G56170,AT5G59820,AT4G03840,AT2G25230,AT5G56030,AT4G13660,AT1G27730,AT5G62020,AT3G14620,AT4G23150,AT2G10460,AT4G23885,AT1G32920,AT3G49620,AT2G25090,AT2G10465,AT4G08750,AT5G37030,AT3G17611,AT3G23990,AT5G04340,AT2G15790,AT1G73260,AT3G45280,AT3G59730,AT4G30230,AT1G37537,AT1G55530,AT4G36000,AT2G21940,AT3G30660,AT4G27420,AT5G58590,AT3G23150,AT3G03520,AT3G15770,AT2G41160,AT5G53400,AT3G29810,AT2G03360,AT1G32010,AT2G11220,AT2G30640,AT4G26780,AT1G39750,AT3G29732,AT2G07714,AT1G36550,AT2G36460,AT3G60940,AT5G58787,AT2G44500,AT3G07770,AT3G57880	na
0	AT3G09735	AT3G09735	0	na	PWM3452	DAP-seq	AT3G09735_col	6	8.984091772021984e-16	4.0271191368088545e-13	132	AT2G26150,AT5G12020,AT1G52560,AT5G12030,AT4G25200,AT1G59860,AT1G74310,AT4G12400,AT5G51440,AT3G16050,AT1G72660,AT1G71000,AT5G48570,AT5G52640,AT3G12580,AT2G46240,AT2G20560,AT3G24500,AT1G54050,AT3G51910,AT5G25450,AT2G32120,AT1G30070,AT4G03810,AT1G21550,AT1G66080,AT3G63350,AT5G18340,AT4G29140,AT5G12110,AT2G01029,AT3G28270,AT2G19310,AT2G36080,AT4G15660,AT3G09350,AT2G14770,AT4G03710,AT4G15680,AT1G26800,AT2G47180,AT3G42080,AT1G07350,AT5G47830,AT4G29770,AT3G17110,AT3G08970,AT4G11660,AT5G52760,AT1G14200,AT5G09590,AT1G03070,AT3G07150,AT1G18330,AT1G41797,AT3G53230,AT4G23570,AT3G07090,AT1G21120,AT1G62940,AT2G32140,AT5G47160,AT4G12550,AT1G33500,AT2G25140,AT5G05410,AT3G49270,AT2G28120,AT5G22530,AT2G48140,AT2G36030,AT5G59620,AT5G23480,AT3G12050,AT1G73480,AT3G25230,AT4G10240,AT1G56170,AT4G03840,AT1G31040,AT2G25230,AT5G56030,AT4G13660,AT1G27730,AT5G62020,AT3G14620,AT4G23150,AT2G10460,AT4G23885,AT1G32920,AT3G49620,AT2G25090,AT2G10465,AT4G08750,AT5G37030,AT3G17611,AT3G23990,AT5G04340,AT2G15790,AT1G73260,AT3G45280,AT3G59730,AT4G30230,AT1G37537,AT1G55530,AT4G36000,AT2G21940,AT3G30660,AT4G27420,AT5G58590,AT3G23150,AT3G03520,AT3G15770,AT2G41160,AT5G53400,AT3G29810,AT2G03360,AT1G32010,AT2G11220,AT1G19610,AT2G30640,AT4G26780,AT1G39750,AT3G29732,AT2G07714,AT1G36550,AT2G36460,AT3G60940,AT5G58787,AT2G44500,AT3G07770,AT3G57880	na
0	AT1G23810	AT1G23810	22	na	PWM3440	DAP-seq	AT1G23810_col	7	2.1791561327483606e-15	5.581752780025444e-13	131	AT2G26150,AT5G12020,AT1G52560,AT5G12030,AT4G25200,AT1G59860,AT1G74310,AT4G12400,AT5G51440,AT3G16050,AT1G72660,AT1G71000,AT5G48570,AT5G52640,AT3G12580,AT2G46240,AT2G20560,AT3G24500,AT1G54050,AT3G51910,AT5G25450,AT2G32120,AT4G03810,AT1G21550,AT1G66080,AT3G63350,AT5G18340,AT4G29140,AT5G12110,AT2G01029,AT2G19310,AT2G36080,AT3G09350,AT2G14770,AT4G03710,AT4G15680,AT1G26800,AT2G47180,AT3G42080,AT1G07350,AT5G47830,AT5G35320,AT4G29770,AT3G17110,AT3G08970,AT4G11660,AT5G52760,AT1G14200,AT5G09590,AT2G10490,AT1G03070,AT3G07150,AT1G18330,AT1G41797,AT1G61340,AT3G53230,AT4G23570,AT3G07090,AT1G21120,AT1G07500,AT1G62940,AT2G32140,AT5G47160,AT5G19875,AT4G12550,AT3G25930,AT1G33500,AT2G25140,AT5G05410,AT2G28120,AT5G22530,AT2G48140,AT2G36030,AT5G59620,AT5G23480,AT3G12050,AT1G73480,AT3G25230,AT4G10240,AT1G56170,AT5G59820,AT1G31040,AT2G25230,AT5G56030,AT1G43755,AT1G27730,AT2G30600,AT5G62020,AT5G49450,AT3G14620,AT1G47780,AT4G23150,AT4G23885,AT1G32920,AT3G49620,AT2G25090,AT5G37030,AT3G17611,AT3G23990,AT5G04340,AT2G15790,AT1G73260,AT3G45280,AT3G30190,AT3G59730,AT4G30230,AT1G55530,AT4G36000,AT2G21940,AT3G30660,AT5G58590,AT4G37260,AT3G03520,AT2G31210,AT2G41160,AT5G53400,AT3G29810,AT2G03360,AT1G32010,AT2G11220,AT2G23970,AT4G26780,AT1G35490,AT1G39750,AT3G29732,AT2G02610,AT2G36460,AT2G44500,AT3G07770,AT3G57880,AT2G05430	na
0	AT3G02990	ATHSFA1E	25	0	PWM3174	DAP-seq	HSFA1E_col	8	5.231414419066553e-15	1.1724907566732911e-12	130	AT2G26150,AT5G12020,AT1G52560,AT5G12030,AT4G25200,AT1G59860,AT1G74310,AT4G12400,AT5G51440,AT3G16050,AT1G72660,AT1G71000,AT5G48570,AT5G52640,AT3G12580,AT2G46240,AT2G20560,AT3G24500,AT1G54050,AT3G51910,AT5G25450,AT2G32120,AT4G03810,AT1G66080,AT3G63350,AT3G20180,AT5G18340,AT4G29140,AT5G12110,AT3G28270,AT2G19310,AT2G36080,AT4G15660,AT4G03710,AT4G15680,AT1G26800,AT2G47180,AT3G42080,AT1G07350,AT5G47830,AT4G29770,AT3G17110,AT3G08970,AT4G11660,AT5G52760,AT1G14200,AT5G09590,AT2G10490,AT1G03070,AT3G07150,AT1G18330,AT3G53230,AT1G19180,AT4G23570,AT1G21120,AT1G07500,AT4G12410,AT1G62940,AT2G32140,AT5G47160,AT5G19875,AT4G12550,AT3G25930,AT1G33500,AT2G25140,AT5G05410,AT2G28120,AT5G22530,AT2G48140,AT2G36030,AT5G59620,AT5G23480,AT3G12050,AT3G25230,AT4G10240,AT1G56170,AT2G25230,AT5G56030,AT1G27730,AT4G24150,AT5G62020,AT2G36050,AT3G14620,AT1G47780,AT4G23150,AT2G10460,AT4G23885,AT3G42900,AT1G54640,AT1G32920,AT3G49620,AT2G25090,AT2G10465,AT5G37030,AT2G05080,AT3G17611,AT3G23990,AT5G04340,AT2G15790,AT1G73260,AT3G45280,AT3G59730,AT4G30230,AT1G37537,AT1G55530,AT4G36000,AT2G21940,AT5G58590,AT4G17250,AT3G03520,AT3G15770,AT2G41160,AT5G53400,AT3G29810,AT2G03360,AT1G19610,AT2G30640,AT2G23970,AT4G26780,AT1G39750,AT3G29732,AT2G07714,AT1G36550,AT2G36460,AT1G17060,AT2G44500,AT5G39540,AT3G07770,AT3G57880,AT2G05430	
0	AT1G10720	AT1G10720	0	na	PWM2902	DAP-seq	AT1G10720_col	9	1.5656886410196416e-13	3.1191997037202416e-11	126	AT2G26150,AT5G12020,AT1G52560,AT4G25200,AT1G74310,AT5G51440,AT3G16050,AT1G72660,AT1G71000,AT5G48570,AT5G52640,AT2G46240,AT2G20560,AT3G24500,AT1G54050,AT3G51910,AT5G25450,AT2G32120,AT1G30070,AT4G03810,AT1G21550,AT1G66080,AT3G63350,AT5G18340,AT4G29140,AT5G28160,AT5G12110,AT2G01029,AT3G28270,AT2G19310,AT2G36080,AT4G15660,AT3G09350,AT4G15680,AT1G26800,AT3G42080,AT1G07350,AT5G47830,AT5G35320,AT4G29770,AT3G17110,AT4G11660,AT5G52760,AT1G14200,AT5G09590,AT1G03070,AT1G18330,AT1G41797,AT1G06160,AT3G53230,AT4G23570,AT3G07090,AT1G21120,AT4G12410,AT1G62940,AT2G32140,AT5G47160,AT5G19875,AT4G12550,AT3G25930,AT1G33500,AT2G25140,AT5G05410,AT2G28120,AT5G22530,AT2G48140,AT2G36030,AT5G59620,AT5G23480,AT3G12050,AT1G73480,AT3G59830,AT3G25230,AT4G10240,AT1G56170,AT1G31040,AT2G25230,AT5G56030,AT1G43755,AT1G27730,AT5G62020,AT5G49450,AT3G52400,AT3G14620,AT1G47780,AT4G23150,AT2G10460,AT1G54640,AT1G32920,AT3G49620,AT2G25090,AT2G10465,AT5G37030,AT3G17611,AT3G23990,AT5G04340,AT2G15790,AT1G73260,AT3G45280,AT1G49210,AT3G59730,AT4G30230,AT1G37537,AT1G55530,AT4G36000,AT2G21940,AT3G30660,AT5G58590,AT3G03520,AT2G31210,AT2G41160,AT5G53400,AT2G03360,AT2G11220,AT1G19610,AT2G23970,AT4G26780,AT1G39750,AT3G29732,AT2G36460,AT3G60940,AT2G44500,AT5G39540,AT3G07770,AT3G57880,AT3G32060	na
0	AT1G46264	AT-HSFB4	2	na	PWM3182	DAP-seq	HSFB4_col	10	3.957395991284766e-12	7.095611012373586e-10	122	AT2G26150,AT5G12020,AT1G52560,AT4G25200,AT1G59860,AT1G74310,AT4G12400,AT5G51440,AT3G16050,AT1G71000,AT5G48570,AT5G52640,AT3G12580,AT2G46240,AT2G20560,AT3G24500,AT1G54050,AT3G51910,AT5G25450,AT2G32120,AT1G30070,AT1G21550,AT1G66080,AT3G63350,AT5G18340,AT4G29140,AT5G12110,AT2G01029,AT2G19310,AT3G09350,AT2G14770,AT4G08190,AT4G03710,AT3G10020,AT1G26800,AT2G47180,AT3G42080,AT1G07350,AT5G47830,AT5G35320,AT4G29770,AT3G17110,AT3G08970,AT4G11660,AT1G14200,AT5G09590,AT1G03070,AT1G18330,AT1G41797,AT1G61340,AT3G53230,AT1G19180,AT4G23570,AT3G07090,AT1G44414,AT2G32140,AT5G47160,AT4G12550,AT3G25930,AT1G33500,AT2G25140,AT5G05410,AT2G28120,AT2G48140,AT2G36030,AT5G59620,AT5G23480,AT3G12050,AT3G59830,AT1G33820,AT3G25230,AT4G10240,AT1G56170,AT4G03840,AT1G31040,AT2G25230,AT5G56030,AT4G13660,AT5G62020,AT5G66815,AT5G02810,AT5G49450,AT4G23150,AT2G10460,AT4G23885,AT1G32920,AT3G49620,AT2G25090,AT2G10465,AT5G37030,AT3G23990,AT5G04340,AT3G45280,AT3G30190,AT3G59730,AT1G37537,AT1G55530,AT5G01380,AT2G21940,AT3G30660,AT5G58590,AT3G23150,AT4G37260,AT3G03520,AT2G41160,AT5G53400,AT3G29810,AT2G03360,AT1G32010,AT2G11220,AT2G30640,AT4G26780,AT1G35490,AT1G39750,AT3G29732,AT3G42440,AT2G36460,AT5G58787,AT2G44500,AT3G07770,AT3G57880,AT3G32060	na
