GeneSet	Regulator	Symbol	CO	PD	PWM_num	PWM_source	PWM_name	rank	p-value	q-value	#hits	hits	PDtargets
1	AT1G01060	LHY	1	na	PWM3338	DAP-seq	LHY1_col	1	2.2478359545120732e-20	4.030369866440147e-17	108	AT2G26560,AT4G16146,AT1G51090,AT5G20030,AT4G36560,AT5G26731,AT5G25210,AT5G63690,AT5G63810,AT5G61380,AT5G61370,AT5G57630,AT5G57110,AT5G57080,AT5G56700,AT5G52850,AT5G49640,AT5G46460,AT5G44010,AT5G42900,AT5G11150,AT5G09630,AT5G06510,AT5G06610,AT5G02190,AT5G02220,AT3G63160,AT3G59750,AT3G58590,AT3G57520,AT3G55450,AT3G50120,AT3G49400,AT3G47860,AT3G46970,AT3G45090,AT3G44960,AT3G43210,AT4G39260,AT4G34950,AT4G33985,AT4G33990,AT4G33980,AT4G33700,AT4G32340,AT4G30660,AT4G30650,AT4G24650,AT4G21380,AT4G19120,AT4G18240,AT4G09020,AT4G04330,AT4G02750,AT1G43080,AT1G07050,AT1G20693,AT1G20696,AT1G16850,AT3G52180,AT3G25610,AT3G25020,AT3G25760,AT3G20810,AT3G22830,AT3G16180,AT3G05790,AT3G05800,AT3G05630,AT3G07650,AT3G05130,AT1G28050,AT1G76790,AT1G71490,AT1G68050,AT1G67970,AT1G51610,AT1G49220,AT1G43840,AT1G53035,AT1G53140,AT1G27630,AT1G11210,AT1G75880,AT1G10760,AT1G14680,AT1G64890,AT1G79440,AT1G59870,AT2G17230,AT2G42530,AT2G22450,AT2G15830,AT2G07440,AT2G15090,AT2G06005,AT2G28085,AT2G28840,AT2G01390,AT2G32280,AT2G23910,AT2G46130,AT2G34200,AT2G19450,AT2G40080,AT2G33830,AT2G45560,AT2G39710	na
1	AT3G09600	At3g09600	1	na	PWM3310	DAP-seq	AT3G09600_col	2	2.3712987288930883e-19	2.1258693104526538e-16	106	AT2G26560,AT4G16146,AT4G36560,AT5G15960,AT5G26731,AT5G25210,AT5G63810,AT5G61380,AT5G61370,AT5G61350,AT5G57630,AT5G57110,AT5G57080,AT5G56700,AT5G52850,AT5G51610,AT5G46460,AT5G44010,AT5G42900,AT5G11150,AT5G09630,AT5G06610,AT5G02190,AT5G02220,AT3G59750,AT3G58590,AT3G57520,AT3G55450,AT3G49400,AT3G46970,AT3G45090,AT3G44960,AT3G43210,AT4G39260,AT4G34950,AT4G33985,AT4G33990,AT4G33980,AT4G33700,AT4G32340,AT4G30660,AT4G30650,AT4G24650,AT4G21380,AT4G19120,AT4G18240,AT4G09020,AT4G04330,AT4G02750,AT1G43080,AT1G07050,AT1G20693,AT1G20696,AT1G16850,AT3G52180,AT3G25610,AT3G25020,AT3G25760,AT3G20810,AT3G22830,AT3G16180,AT3G05790,AT3G05800,AT3G05630,AT3G10410,AT3G07650,AT3G05130,AT1G28050,AT1G71060,AT1G76790,AT1G71490,AT1G68050,AT1G67970,AT1G69870,AT1G51610,AT1G17665,AT1G49220,AT1G53035,AT1G22500,AT1G11210,AT1G15480,AT1G10760,AT1G14680,AT1G64890,AT1G79440,AT1G59870,AT2G17230,AT2G42530,AT2G22450,AT1G79200,AT1G09680,AT2G15830,AT2G07440,AT2G15090,AT2G06005,AT2G28085,AT2G28840,AT2G01390,AT2G32280,AT2G23910,AT2G46130,AT2G19450,AT2G40080,AT2G33830,AT2G45560,AT2G39710	na
1	AT3G09600	At3g09600	1	na	PWM1199	CisBP	M1205_1.01	14	4.1902085510349777e-10	5.366459951432654e-8	85	AT4G16146,AT4G36560,AT5G17460,AT5G15960,AT1G31690,AT5G27610,AT5G63810,AT5G61380,AT5G61370,AT5G57630,AT5G57110,AT5G57080,AT5G56700,AT5G44010,AT5G42900,AT5G17760,AT5G09630,AT5G02190,AT5G02220,AT3G50120,AT3G47860,AT4G39260,AT4G33980,AT4G33700,AT4G30650,AT4G25850,AT4G24650,AT4G23270,AT4G21380,AT4G19120,AT4G18240,AT4G09020,AT4G04330,AT4G02750,AT1G07050,AT1G20693,AT1G20696,AT1G16850,AT3G52180,AT3G20810,AT3G22830,AT3G16180,AT3G05790,AT3G05800,AT3G05630,AT3G10410,AT3G10200,AT3G07650,AT3G16360,AT1G28050,AT1G56520,AT1G29395,AT1G76790,AT1G71490,AT1G68050,AT1G67970,AT1G69870,AT1G51610,AT1G49220,AT1G43840,AT1G26660,AT1G26665,AT1G53035,AT1G53140,AT1G22500,AT1G27630,AT1G11210,AT1G75880,AT1G10760,AT1G14680,AT1G79440,AT1G59870,AT2G17230,AT1G04390,AT1G67420,AT1G62300,AT1G61460,AT1G04030,AT2G06005,AT2G28840,AT2G01390,AT2G23910,AT2G19670,AT2G40080,AT2G33830	na
1	AT5G02840	LCL1	0	0	PWM3336	DAP-seq	LCL1_col	3	2.3712987288930883e-19	2.1258693104526538e-16	106	AT2G26560,AT4G16146,AT1G51090,AT4G36560,AT5G17460,AT5G26731,AT5G25210,AT5G63810,AT5G61380,AT5G61370,AT5G57630,AT5G57110,AT5G57080,AT5G56700,AT5G52850,AT5G49640,AT5G47240,AT5G46460,AT5G44010,AT5G42900,AT5G11150,AT5G09630,AT5G06510,AT5G06610,AT5G02190,AT5G02220,AT3G63160,AT3G59750,AT3G58590,AT3G55450,AT3G47860,AT3G46970,AT3G45090,AT3G44960,AT3G43210,AT4G39260,AT4G34950,AT4G34750,AT4G33985,AT4G33990,AT4G33980,AT4G33700,AT4G32340,AT4G30660,AT4G30650,AT4G24650,AT4G21380,AT4G19120,AT4G18240,AT4G09020,AT4G04330,AT1G43080,AT1G07050,AT1G20693,AT1G20696,AT1G16850,AT3G52180,AT3G25610,AT3G25020,AT3G25760,AT3G20810,AT3G22830,AT3G16180,AT3G05790,AT3G05800,AT3G05630,AT3G07650,AT3G05130,AT1G28050,AT1G71060,AT1G71490,AT1G68050,AT1G67970,AT1G69870,AT1G51610,AT1G49220,AT1G53035,AT1G53140,AT1G11210,AT1G15480,AT1G10760,AT1G14680,AT1G64890,AT1G79440,AT1G59870,AT2G17230,AT2G42530,AT2G36470,AT2G22450,AT1G09680,AT2G15830,AT2G07440,AT2G15090,AT2G06005,AT2G28085,AT2G28840,AT2G01390,AT2G32280,AT2G23910,AT2G46130,AT2G34200,AT2G19450,AT2G40080,AT2G33830,AT2G45560,AT2G39710	
1	AT5G02840	LCL1	0	0	PWM1201	CisBP	M1205_1.01	16	4.1902085510349777e-10	5.366459951432654e-8	85	AT4G16146,AT4G36560,AT5G17460,AT5G15960,AT1G31690,AT5G27610,AT5G63810,AT5G61380,AT5G61370,AT5G57630,AT5G57110,AT5G57080,AT5G56700,AT5G44010,AT5G42900,AT5G17760,AT5G09630,AT5G02190,AT5G02220,AT3G50120,AT3G47860,AT4G39260,AT4G33980,AT4G33700,AT4G30650,AT4G25850,AT4G24650,AT4G23270,AT4G21380,AT4G19120,AT4G18240,AT4G09020,AT4G04330,AT4G02750,AT1G07050,AT1G20693,AT1G20696,AT1G16850,AT3G52180,AT3G20810,AT3G22830,AT3G16180,AT3G05790,AT3G05800,AT3G05630,AT3G10410,AT3G10200,AT3G07650,AT3G16360,AT1G28050,AT1G56520,AT1G29395,AT1G76790,AT1G71490,AT1G68050,AT1G67970,AT1G69870,AT1G51610,AT1G49220,AT1G43840,AT1G26660,AT1G26665,AT1G53035,AT1G53140,AT1G22500,AT1G27630,AT1G11210,AT1G75880,AT1G10760,AT1G14680,AT1G79440,AT1G59870,AT2G17230,AT1G04390,AT1G67420,AT1G62300,AT1G61460,AT1G04030,AT2G06005,AT2G28840,AT2G01390,AT2G23910,AT2G19670,AT2G40080,AT2G33830	
1	AT2G28920	AT2G28920	2	na	PWM3436	DAP-seq	AT2G28920_col	4	2.3670994180659837e-18	1.0610523141480773e-15	104	AT2G26560,AT4G16146,AT1G51090,AT5G20030,AT4G36560,AT1G31690,AT5G26731,AT5G25210,AT5G63690,AT5G63810,AT5G61380,AT5G61370,AT5G57630,AT5G57110,AT5G57080,AT5G56700,AT5G52850,AT5G51610,AT5G49640,AT5G46460,AT5G44010,AT5G42900,AT5G11150,AT5G09630,AT5G06510,AT5G02190,AT5G02220,AT3G63160,AT3G59750,AT3G58590,AT3G55450,AT3G49400,AT3G47860,AT3G46970,AT3G45090,AT3G44960,AT3G43210,AT4G39260,AT4G34950,AT4G33985,AT4G33990,AT4G33980,AT4G33700,AT4G32340,AT4G30660,AT4G30650,AT4G24650,AT4G21380,AT4G19120,AT4G18240,AT4G09020,AT4G04330,AT4G02750,AT1G43080,AT1G07050,AT1G20693,AT1G20696,AT1G16850,AT3G52180,AT3G25020,AT3G25760,AT3G20810,AT3G22830,AT3G16180,AT3G05790,AT3G05800,AT3G05630,AT3G07650,AT3G05130,AT1G28050,AT1G76790,AT1G71490,AT1G68050,AT1G67970,AT1G51610,AT1G49220,AT1G43840,AT1G53035,AT1G53140,AT1G27630,AT1G11210,AT1G75880,AT1G14680,AT1G64890,AT1G79440,AT2G17230,AT2G42530,AT2G22450,AT2G15830,AT2G07440,AT2G15090,AT2G06005,AT2G28085,AT2G28840,AT2G01390,AT2G32280,AT2G23910,AT2G46130,AT2G34200,AT2G19450,AT2G40080,AT2G33830,AT2G45560,AT2G39710	na
1	AT5G52660	At5g52660	6	na	PWM3326	DAP-seq	AT5G52660_col	5	6.723245110399258e-17	2.410955696589174e-14	101	AT2G26560,AT4G16146,AT4G36560,AT5G17460,AT5G26731,AT5G25210,AT5G63810,AT5G61380,AT5G61370,AT5G61350,AT5G57630,AT5G57110,AT5G57080,AT5G56700,AT5G52850,AT5G46460,AT5G44010,AT5G42900,AT5G11150,AT5G09630,AT5G06610,AT5G02190,AT5G02220,AT3G59750,AT3G58590,AT3G55450,AT3G47860,AT3G46970,AT3G45090,AT3G44960,AT3G43210,AT4G39260,AT4G34950,AT4G33985,AT4G33990,AT4G33980,AT4G33700,AT4G32340,AT4G30660,AT4G30650,AT4G24650,AT4G21380,AT4G19120,AT4G18240,AT4G09020,AT4G04330,AT4G02750,AT1G43080,AT1G07050,AT1G20693,AT1G20696,AT1G16850,AT3G52180,AT3G25610,AT3G25020,AT3G20810,AT3G22830,AT3G16180,AT3G05790,AT3G05800,AT3G05630,AT3G10410,AT3G07650,AT3G05130,AT1G28050,AT1G71060,AT1G71490,AT1G68050,AT1G67970,AT1G69870,AT1G51610,AT1G49220,AT1G43840,AT1G53035,AT1G53140,AT1G11210,AT1G15480,AT1G10760,AT1G14680,AT1G64890,AT1G79440,AT1G59870,AT2G17230,AT2G42530,AT2G22450,AT1G79200,AT2G15830,AT2G07440,AT2G15090,AT2G06005,AT2G28085,AT2G28840,AT2G01390,AT2G32280,AT2G23910,AT2G34200,AT2G19450,AT2G40080,AT2G33830,AT2G45560,AT2G39710	na
1	AT5G52660	At5g52660	6	na	PWM1202	CisBP	M1205_1.01	17	4.1902085510349777e-10	5.366459951432654e-8	85	AT4G16146,AT4G36560,AT5G17460,AT5G15960,AT1G31690,AT5G27610,AT5G63810,AT5G61380,AT5G61370,AT5G57630,AT5G57110,AT5G57080,AT5G56700,AT5G44010,AT5G42900,AT5G17760,AT5G09630,AT5G02190,AT5G02220,AT3G50120,AT3G47860,AT4G39260,AT4G33980,AT4G33700,AT4G30650,AT4G25850,AT4G24650,AT4G23270,AT4G21380,AT4G19120,AT4G18240,AT4G09020,AT4G04330,AT4G02750,AT1G07050,AT1G20693,AT1G20696,AT1G16850,AT3G52180,AT3G20810,AT3G22830,AT3G16180,AT3G05790,AT3G05800,AT3G05630,AT3G10410,AT3G10200,AT3G07650,AT3G16360,AT1G28050,AT1G56520,AT1G29395,AT1G76790,AT1G71490,AT1G68050,AT1G67970,AT1G69870,AT1G51610,AT1G49220,AT1G43840,AT1G26660,AT1G26665,AT1G53035,AT1G53140,AT1G22500,AT1G27630,AT1G11210,AT1G75880,AT1G10760,AT1G14680,AT1G79440,AT1G59870,AT2G17230,AT1G04390,AT1G67420,AT1G62300,AT1G61460,AT1G04030,AT2G06005,AT2G28840,AT2G01390,AT2G23910,AT2G19670,AT2G40080,AT2G33830	na
1	AT4G01280	At4g01280	1	na	PWM3317	DAP-seq	AT4G01280_col	6	5.831957251535625e-16	1.742783225333896e-13	99	AT2G26560,AT4G16146,AT4G36560,AT5G26570,AT5G26731,AT5G25210,AT5G63810,AT5G61380,AT5G61370,AT5G57630,AT5G57110,AT5G57080,AT5G56700,AT5G52850,AT5G49110,AT5G46460,AT5G44010,AT5G42900,AT5G11150,AT5G09630,AT5G02190,AT5G02220,AT3G59750,AT3G58590,AT3G55450,AT3G47860,AT3G46970,AT3G45090,AT3G44960,AT3G43210,AT4G39260,AT4G34950,AT4G33985,AT4G33990,AT4G33980,AT4G33700,AT4G32340,AT4G30660,AT4G30650,AT4G24650,AT4G21380,AT4G19120,AT4G18240,AT4G09020,AT4G04330,AT4G02750,AT1G43080,AT1G07050,AT1G20693,AT1G20696,AT1G16850,AT3G52180,AT3G25610,AT3G25020,AT3G25760,AT3G20810,AT3G22830,AT3G16180,AT3G05790,AT3G05800,AT3G05630,AT3G07650,AT3G05130,AT1G28050,AT1G71060,AT1G71490,AT1G68050,AT1G67970,AT1G69870,AT1G51610,AT1G49220,AT1G53035,AT1G53140,AT1G11210,AT1G15480,AT1G10760,AT1G14680,AT1G64890,AT1G79440,AT2G17230,AT2G42530,AT2G22450,AT1G79200,AT2G15830,AT2G07440,AT2G15090,AT2G06005,AT2G28085,AT2G28840,AT2G01390,AT2G32280,AT2G23910,AT2G46130,AT2G34200,AT2G19450,AT2G40080,AT2G33830,AT2G45560,AT2G39710	na
1	AT4G01280	At4g01280	1	na	PWM1200	CisBP	M1205_1.01	15	4.1902085510349777e-10	5.366459951432654e-8	85	AT4G16146,AT4G36560,AT5G17460,AT5G15960,AT1G31690,AT5G27610,AT5G63810,AT5G61380,AT5G61370,AT5G57630,AT5G57110,AT5G57080,AT5G56700,AT5G44010,AT5G42900,AT5G17760,AT5G09630,AT5G02190,AT5G02220,AT3G50120,AT3G47860,AT4G39260,AT4G33980,AT4G33700,AT4G30650,AT4G25850,AT4G24650,AT4G23270,AT4G21380,AT4G19120,AT4G18240,AT4G09020,AT4G04330,AT4G02750,AT1G07050,AT1G20693,AT1G20696,AT1G16850,AT3G52180,AT3G20810,AT3G22830,AT3G16180,AT3G05790,AT3G05800,AT3G05630,AT3G10410,AT3G10200,AT3G07650,AT3G16360,AT1G28050,AT1G56520,AT1G29395,AT1G76790,AT1G71490,AT1G68050,AT1G67970,AT1G69870,AT1G51610,AT1G49220,AT1G43840,AT1G26660,AT1G26665,AT1G53035,AT1G53140,AT1G22500,AT1G27630,AT1G11210,AT1G75880,AT1G10760,AT1G14680,AT1G79440,AT1G59870,AT2G17230,AT1G04390,AT1G67420,AT1G62300,AT1G61460,AT1G04030,AT2G06005,AT2G28840,AT2G01390,AT2G23910,AT2G19670,AT2G40080,AT2G33830	na
