"","0 zero a","1 control a","2 control a","3 control a","4 control a","5 control a","6 control a","7 control a","8 control a","9 control a","10 control a","11 control a","12 control a","13 control a","0 zero b","1 control b","2 control b","3 control b","4 control b","5 control b","6 control b","7 control b","8 control b","9 control b","10 control b","11 control b","12 control b","13 control b","0 zero c","1 control c","2 control c","3 control c","4 control c","5 control c","6 control c","7 control c","8 control c","9 control c","10 control c","11 control c","12 control c","13 control c","0 zero d","1 control d","2 control d","3 control d","4 control d","5 control d","6 control d","7 control d","8 control d","9 control d","10 control d","11 control d","12 control d","13 control d","1 drought a","2 drought a","3 drought a","4 drought a","5 drought a","6 drought a","7 drought a","8 drought a","9 drought a","10 drought a","11 drought a","12 drought a","13 drought a","1 drought b","2 drought b","3 drought b","4 drought b","5 drought b","6 drought b","7 drought b","8 drought b","9 drought b","10 drought b","11 drought b","12 drought b","13 drought b","1 drought c","2 drought c","3 drought c","4 drought c","5 drought c","6 drought c","7 drought c","8 drought c","9 drought c","10 drought c","11 drought c","12 drought c","13 drought c","1 drought d","2 drought d","3 drought d","4 drought d","5 drought d","6 drought d","7 drought d","8 drought d","9 drought d","10 drought d","11 drought d","12 drought d","13 drought d"
"AT4G04750",3.34182923335986,3.42482805474321,3.40626454061069,3.4355352558638,3.36769256069586,3.41855428702653,3.4551759554589,3.3287503134662,3.36622428253138,3.35313976642251,3.3405480271492,3.43269221678717,3.31538943283014,3.32449380925119,3.33232125387372,3.45674045123912,3.41039538105889,3.42501611554955,3.44136395829011,3.32780231537653,3.41050392782298,3.41206338571927,3.35524184393088,3.31817798881473,3.40085211872101,3.37406571822254,3.30032876310035,3.43249179144138,3.39964963365344,3.41538009866899,3.36998288581466,3.47657610776036,3.38623154532541,3.39454157979015,3.38938784039947,3.37167037096268,3.3447432959556,3.32601954169512,3.26485165770141,3.38030001107192,3.41844634429828,3.34450186567517,3.33776817092163,3.42723070142528,3.35295621833303,3.34514085777554,3.37966254567165,3.41805498419237,3.39305918950469,3.41818994794577,3.34356416501289,3.41943102243146,3.28827586696564,3.38233524253165,3.32113583781544,3.43517518056019,3.38142182027903,3.44853098190579,3.39253724527513,3.43637508224454,3.3593243747517,3.39492565468731,3.4817122620033,3.44391160073249,3.57821416547245,3.53939458715935,3.59929398665294,3.55130682706206,3.53300260646713,3.37417703298984,3.4474205045905,3.41196851036013,3.40680874847866,3.46121421258398,3.46920874024883,3.43424123325194,3.51003779232808,3.51650689104327,3.49961631292225,3.5650243707129,3.57966289701601,3.56792262122954,3.41817645213857,3.40792373325016,3.45117154022565,3.48065289118484,3.46644440625049,3.48978696063896,3.48443463322387,3.43925078111141,3.51523305487445,3.42664047750446,3.55753262765066,3.67191606560889,3.62005849861789,3.36289064266586,3.34374891183543,3.41371592650712,3.40016901152776,3.42006463782373,3.50712228278311,3.46456372009656,3.42199073677286,3.48527224442021,3.39979999910997,3.54678336037686,3.53673677456944,3.50788341870036
"AT1G61930",3.42367228594813,3.46359630188238,3.43913107469819,3.47850592693672,3.41611010488972,3.50823847808587,3.4851949468335,3.3991163934448,3.39947190881555,3.36481052736326,3.40127548280312,3.4494293141032,3.39887021608836,3.37802601916739,3.43310634095507,3.51711188447326,3.49110911508806,3.43761393312099,3.43299948158177,3.40691756542251,3.44983866234258,3.48320955680302,3.41095159691781,3.42390082530867,3.45633305690261,3.45666160970014,3.38849265040127,3.50343778766844,3.39341620047154,3.44273122165204,3.47113542355887,3.43604187631363,3.43792015158681,3.48340305909564,3.47069303472262,3.41184651858694,3.34593565289933,3.40249025752769,3.36359162661672,3.33628338786443,3.29603885497099,3.41677219842908,3.39380057504463,3.41631281885834,3.45658276385233,3.401944417906,3.41502848240666,3.45989058495499,3.46704466469022,3.49542655077681,3.40435819483331,3.44695755331711,3.40732555587824,3.48173809060053,3.39598133373914,3.31263613351087,3.50272521370031,3.53867472898567,3.44198801590373,3.47260474199434,3.45926110823847,3.48382867280475,3.55657655916095,3.50052164337954,3.47727580359603,3.63172128388155,3.61487471412749,3.58949984752466,3.59944872542542,3.44314247454581,3.51022772975393,3.54891744291109,3.38681094647222,3.49707580554596,3.53245411483066,3.5358290163976,3.58255600301406,3.52671988124737,3.54737579226099,3.60375095285249,3.63721607675255,3.67392948653781,3.50563691176277,3.4642500339114,3.51091129751065,3.54659817551103,3.54911465531884,3.56000565885049,3.54706726434509,3.52598114524292,3.57709039704631,3.48940163914503,3.6352784439396,3.52953362799871,3.60554174336077,3.52638186256192,3.47069303472262,3.53923327086604,3.46804888653549,3.54679570518945,3.53718422593098,3.49239160196348,3.49191721468443,3.58801297794036,3.50672887183635,3.6028725346363,3.5465858290081,3.56214471458154
"AT5G53420",3.65016714131387,3.64307115012233,3.62240329624248,3.65056927666759,3.62502495311811,3.59109293363433,3.6572284011611,3.62330502824754,3.58821691362884,3.63639261072674,3.55880640086106,3.63414017712258,3.59700667921068,3.59372425817136,3.65147654178321,3.60191040927954,3.62300061033145,3.62619379927242,3.5837356884673,3.5623889762735,3.63818971164694,3.66587025500396,3.56191262766211,3.61269455269052,3.64173097813475,3.64587455030903,3.57718709971601,3.66689290308666,3.62955479487757,3.62010543193737,3.63682179955641,3.6148982654484,3.62424129607252,3.62319966008399,3.65442408356483,3.64551721789322,3.57115496718662,3.66238781925968,3.54470793087001,3.5573610722618,3.58407256435402,3.61139667689353,3.58507069879185,3.62192292317707,3.64635853695625,3.63445387088626,3.59062597034575,3.62532894422938,3.64534428333265,3.67441545363921,3.60997947948009,3.65005222490741,3.58170072994981,3.64906356577061,3.55130682706206,3.5103923219649,3.63506944184076,3.67868041373475,3.51241653597297,3.64492915579126,3.64882204605083,3.65979900194652,3.70805477132835,3.70180408425447,3.70536974112437,3.77666200304195,3.77914413201699,3.73677803161906,3.73515387479805,3.66641575752304,3.59399907429693,3.66911749819359,3.58759301955179,3.68568230111674,3.66252454384549,3.67848887388578,3.69627208392586,3.67726016082765,3.75800462820363,3.72367869004706,3.76827961891674,3.80250344058368,3.65459593322029,3.66382278156708,3.65425221343669,3.65797148975492,3.67227823615396,3.67716993881825,3.67592881369186,3.66601801563729,3.71078990631066,3.73872460933488,3.72701644544101,3.65989031681626,3.75271648359345,3.66658618476912,3.63055690923429,3.68003173691226,3.65424075470011,3.68016679964048,3.67786901185625,3.69146716514175,3.67045514288562,3.70409730365561,3.69742911479714,3.73758942487772,3.72658057603253,3.73147653078029
"AT1G55760",3.16744624674842,3.23431736981616,3.25710116107861,3.29464133241926,3.19356675576845,3.15037445383599,3.27806506004593,3.20800526505704,3.2202680353087,3.26830263458813,3.19478836687079,3.26439380581308,3.19799902626991,3.14293617714877,3.15609723764289,3.17111713666142,3.16750565831317,3.11658101164923,3.18263668595271,3.25950751794565,3.14707708682901,3.20501083025191,3.18417395324203,3.27584738123123,3.19514440971278,3.17970849171078,3.21548446419279,3.22313830792354,3.20977150329327,3.17831945909377,3.24443957164877,3.16467205490195,3.16247753539278,3.17498638423989,3.24081498739745,3.19897654289282,3.25284554523019,3.15300109314526,3.18773924752097,3.20627750319623,3.18098643060338,3.27985012050273,3.28995394724229,3.14935855550439,3.21603728458177,3.15312273123424,3.20193804957475,3.24957883350437,3.23429590736789,3.29131180710899,3.32098715093963,3.27529466360406,3.18004280672381,3.26131115986153,3.1803006539541,3.08223932674974,3.27395295859521,3.24167699424103,3.17767386843678,3.16934941161462,3.16443875398751,3.16926922767829,3.24731537717447,3.30645182528439,3.39714579739278,3.4220849553499,3.38467152412471,3.50143914515887,3.52253288483711,3.23262238673107,3.39415740261718,3.26128859063318,3.18176091842214,3.26029519488561,3.21552329276571,3.23485382728,3.28709546668488,3.32857799650447,3.39469247855131,3.39650203366267,3.44749985275164,3.44180215462887,3.20270920899527,3.28935348666301,3.17425140198411,3.23687065444463,3.12532543369342,3.24312217883974,3.26846433712286,3.3107574528626,3.34194306331196,3.31337356963876,3.37973184903481,3.35456499895441,3.4590249836427,3.25274868064744,3.25251254597677,3.21778131731103,3.20408436040447,3.22785349325459,3.23335584554406,3.26413404161959,3.29994941890276,3.39099778395738,3.32693995803697,3.39432206250409,3.46863544596714,3.43646836611607
"AT3G24760",3.56879825701341,3.59580200304798,3.62447526812034,3.62283666638228,3.5514052734598,3.61323695471633,3.63886160008256,3.56595049539191,3.60341864128919,3.58571971686577,3.54947203411007,3.57311999630058,3.53836433447833,3.60056711217628,3.55908794890969,3.60280128809117,3.57071793033955,3.56281633474737,3.57256229711147,3.56917510325364,3.54809132302458,3.60282503733049,3.58804896868609,3.60764989079144,3.59078164156966,3.57520339825816,3.54417623950577,3.59268426252979,3.56226685059699,3.54789397067095,3.57275630389146,3.60588541571079,3.51699846752854,3.59141612739383,3.61754533750153,3.57026861557812,3.60161332738334,3.53845125167214,3.52514178270256,3.52698272992705,3.50184673650681,3.58171277957034,3.51755286562967,3.56557280579973,3.5868968192523,3.58510676301225,3.55382739891468,3.59928208298297,3.61683992637964,3.64221635660659,3.62298890066718,3.62793362523562,3.59219388961534,3.58260417232813,3.52998331865105,3.50760438215404,3.62133688581356,3.59952013772307,3.58409662390759,3.58533514880841,3.58801297794036,3.58557551585704,3.61926039849438,3.68080817498169,3.67355642399014,3.67308147754704,3.67012651462842,3.67925488074982,3.72421368675736,3.54921325141424,3.63030062064897,3.62282495538727,3.52957110757389,3.6537135544092,3.64450237241894,3.65236028943435,3.70956635383999,3.65942226700324,3.62520034042255,3.65715978906824,3.74450557862861,3.7609979824718,3.61126682507306,3.62269612816767,3.63821288542341,3.60400013630201,3.62144239010893,3.62687129638928,3.62913509838032,3.66299158843893,3.66529043248659,3.59762651647091,3.70730390824728,3.73108546525167,3.73889751142532,3.62214555497223,3.61805067005334,3.62230957747177,3.59104504691911,3.60875011461794,3.635557066314,3.60759071519839,3.63656662158724,3.6583714559065,3.61963603002143,3.70097230722272,3.66655210093049,3.6520734177236
"AT4G17770",3.58077260681573,3.70980894220232,3.65918247535313,3.72335104309778,3.57020788663291,3.6525553296199,3.66815317152448,3.56203478332638,3.61228171884598,3.56700993512854,3.43111478485284,3.64607046922592,3.5211512696379,3.47441008359377,3.55818190260116,3.71159401969867,3.65685099426345,3.65126987333295,3.65303708059409,3.56921156702121,3.55101144755581,3.65320909553492,3.58704088826047,3.633198686374,3.608182361932,3.62553936209755,3.53699780472863,3.67476570049579,3.66208014155781,3.6546417563381,3.65339255553512,3.71102127252452,3.64552874612691,3.66274099794343,3.68719509466027,3.64451390876483,3.6585542606509,3.54741281117741,3.47599276856208,3.61633416948846,3.56894414465471,3.57756176134949,3.55003872929254,3.62500156653313,3.63495331647921,3.64333672605092,3.60886836830988,3.62552767302107,3.6314069953274,3.68452702788435,3.62702310555406,3.67513845051136,3.52044739331893,3.64242432597224,3.55149140854749,3.57143411587651,3.71814239656062,3.70111651627006,3.63718129192221,3.68293280271722,3.63024236689313,3.6177686458044,3.73701608760901,3.72232393387158,3.72460661918025,3.80406388750312,3.7768725186506,3.74303018243616,3.75311243003023,3.67521750631685,3.75001687301369,3.73600949195778,3.53305245900447,3.75033852024471,3.73469878303929,3.72441016634619,3.74496834824888,3.71225459940369,3.74662449247852,3.76704030386162,3.7658529528211,3.83746899145454,3.68699348048376,3.72765911254674,3.73604197374997,3.73254056130812,3.68963463200372,3.69512526303242,3.71223258495255,3.76032741449659,3.77531397525381,3.69413358599437,3.78450398292957,3.81009344186453,3.85121933145699,3.71114244954435,3.6724819171383,3.75862298244024,3.68700468201054,3.73042258435681,3.75834582193588,3.70083917838355,3.64515979694998,3.81444788285685,3.66278656308934,3.77529290232225,3.78091896844949,3.75554992111991
"AT5G64550",3.61340199312553,3.58988330717863,3.64281707521914,3.68526740651684,3.54645001050178,3.60548248123201,3.65016714131387,3.57148265796164,3.6169222421187,3.62290693035603,3.59390349201675,3.6199059547841,3.59509781560634,3.45792255758421,3.6422510202495,3.67167834176889,3.62840033559195,3.57630444747625,3.66775590841037,3.58076054934014,3.63420989274263,3.62477937506592,3.51702367206458,3.6065488272751,3.5544169458569,3.59057806812807,3.5359907137689,3.63391938876457,3.61860280789305,3.61528680674673,3.58398835275662,3.63494170342895,3.60626454538726,3.64245898461869,3.64362534009972,3.55563212610025,3.61242327518699,3.51234067918098,3.60543506977622,3.57734422773091,3.6186732783674,3.62536401600536,3.56680297931783,3.68721749449633,3.6260419028133,3.67011518128429,3.58529909029677,3.59522913086069,3.67309278761294,3.65187831237234,3.64969592586544,3.57783967324918,3.48378998583746,3.58927212012228,3.58511878421872,3.5004706539457,3.65598143904288,3.68435870701042,3.57718709971601,3.58472203150802,3.68619794969939,3.68901954137795,3.72334012025117,3.6565650142039,3.76729460914146,3.75364732019604,3.75958197323355,3.73501302840296,3.76924279514054,3.69108744095189,3.68071817458921,3.68670221025608,3.49469720927427,3.72173356153682,3.62688297458449,3.7328769790775,3.75427823562533,3.68868392683529,3.74311637845204,3.6934088965254,3.78693086109029,3.8274328996296,3.64514826576772,3.68708309026287,3.68197766944732,3.72248788332127,3.70327792398137,3.76411256667788,3.69879632968043,3.69259458028549,3.7529947275752,3.71554198650132,3.77941732593387,3.78786077938257,3.84053373033412,3.68065067061012,3.62459223991645,3.67661720586151,3.67557884912776,3.68774379054891,3.69950721388853,3.6992851001996,3.76722044139859,3.71576161155935,3.66609757278732,3.76948613351698,3.71907389228014,3.71323390255378
"AT1G78830",3.70032873733094,3.63091796589115,3.64266691901416,3.6318958590538,3.74831094444294,3.69164582430093,3.60859637032606,3.65427513063682,3.78319470337615,3.66951438660629,3.75672443256749,3.67960395483622,3.64801668818068,3.73004210530077,3.72439925151544,3.56331679372124,3.68632122966816,3.66010716647058,3.59600484074382,3.73274676215006,3.65264710411362,3.65051183562216,3.73481798761422,3.64337136278549,3.83616652363582,3.65912537622816,3.77209679219569,3.67366948343465,3.68404445549302,3.68408935275804,3.75206346968423,3.62886689501678,3.65973051200106,3.68063941963985,3.57268355440625,3.65810863349876,3.76429307012575,3.73040084539937,3.71570670842921,3.65144209909738,3.74466702675126,3.7332133184169,3.7815170898542,3.56330458947008,3.65919389490695,3.80477637795583,3.65233734179655,3.68297773459012,3.66559742637671,3.65767430024491,3.72570844195977,3.61394412929406,3.77529290232225,3.62663771263123,3.71384975274752,3.78744291273397,3.61819166150627,3.64724542433163,3.66033539405729,3.67660592339182,3.54127940969066,3.53694808833939,3.50371763117651,3.55198351041838,3.6357776042051,3.48111807660618,3.51180956992846,3.50503979343058,3.55310241725489,3.55826763405574,3.56842131231148,3.61574585704978,3.6882810862991,3.5484242939165,3.68068442299448,3.48473107432163,3.51553585051161,3.59997233353952,3.5700499794107,3.55044513440635,3.48809077573846,3.43895814789755,3.57259867537003,3.73745963261845,3.62532894422938,3.5479309762937,3.55456429495731,3.4299908153707,3.62171197714902,3.51698586509539,3.49683301041723,3.57670352153546,3.44344752192336,3.57843156796879,3.52417653867265,3.62692968642004,3.65374794290996,3.59962724954213,3.63019576219481,3.51929027903653,3.51970543764947,3.63257068436327,3.53312723458062,3.47526650578367,3.6631738087369,3.54017609531966,3.55755713389812,3.51495543636791
"AT1G70260",3.25224154895328,3.2279936177679,3.18906862582432,3.24357616792698,3.28524092393897,3.24699477540512,3.22828460212336,3.22707717250355,3.15023795870449,3.19937081950816,3.11050690431016,3.24941803429667,3.1900253364374,3.12556845177803,3.18181974342182,3.29298047414305,3.26592741298275,3.10631816532247,3.32334124369756,3.09584848668233,3.35774904219214,3.14840702607633,3.16441461725672,3.13036422078069,3.18056481998647,3.18277015010389,3.1210750974521,3.3071661931539,3.3537326083974,3.29250643319161,3.1920536771975,3.27906264752087,3.3227069399402,3.23435876077902,3.14718131238572,3.16570616942617,3.09929015405458,3.17779663260774,3.16476536470504,3.13661468100757,3.10554231604887,3.13963156810573,3.11190267744425,3.35384550306285,3.25092671808492,3.24801255401325,3.18457546914688,3.23122809410846,3.19670775227544,3.23786960086751,3.12485746725576,3.24873519653632,3.04309948491404,3.23399693292403,3.13569738542422,3.28515213004684,3.23410426421208,3.27101922587447,3.13940891760211,3.20836742649091,3.32378797212704,3.41925571796913,3.4314090131677,3.29261833267751,3.35364793160043,3.50128626871061,3.47387780762835,3.51954190457844,3.42033417701515,3.33200610482469,3.14941709066806,3.1991226420136,3.25962501904282,3.19122625635848,3.39410251181168,3.3364547869943,3.43979598467276,3.34060499381453,3.43953005745509,3.38099258892232,3.39540560456633,3.44405742324647,3.29750105643136,3.16376599254501,3.16277720436542,3.41242927509902,3.27887388730894,3.47673162505276,3.38784501296558,3.34558088775084,3.42104821242356,3.33751129856588,3.38153256893404,3.24700389302735,3.42416964880264,3.18998107292028,3.22166367631719,3.14383745747199,3.27308615024262,3.29244753523904,3.23283110752991,3.43039233357231,3.39947190881555,3.24997620372416,3.35202399840165,3.35135977740708,3.4664052502845,3.47692599809657
"AT5G25390",3.06377212822784,3.11386215995327,3.05872863529964,3.06734099264337,3.02526981431544,3.01333361748565,3.07386820810106,3.00838828207245,3.05810345286276,3.03340009444197,2.99586074639167,3.11206787697859,3.00209039264061,3.074856476847,3.01852379591311,3.05101704019376,3.07101092682411,3.07567638009509,3.06249995520057,3.04803560361291,3.08196504607668,3.04729408009402,3.01463380622341,3.08316570320065,2.98288773516007,3.05301920961793,3.02300689633703,2.99756520207088,3.08628444205203,3.08776492693574,3.07151213199547,3.1344509639115,3.07269579527457,3.07559252829457,3.15889118192468,3.06742532539675,3.05497694231437,3.06785207679555,3.01552611472117,3.10427794428688,3.01836177386692,3.07725325502189,2.99399311413981,3.07285182913148,3.09694997187459,2.9980420167931,3.06173473030694,3.10074054199384,3.12797823077576,3.18215039067716,3.04539404132057,3.12520142910221,3.01116641490767,3.09714555359105,3.02211387635418,3.12012463494729,3.1818372314727,3.0621027107704,3.0747674405167,3.13865230401086,3.08845371725176,3.10055890273478,3.17640894875272,3.22027887142544,3.14607841978739,3.17354162902371,3.27843533321438,3.21561026497703,3.27463887482801,3.12166861150544,3.21622513317416,3.14784069020718,3.03498159153353,3.11484673291696,3.04757503149572,3.16034422111205,3.19417847875641,3.27342637120363,3.05178448997074,3.32798909154489,3.30914562158182,3.22833694228725,3.10514836677418,3.05671183928655,2.99449826485603,3.00665349176375,3.09010479586118,3.21347949031532,3.07017118965054,3.19861673036323,3.16394467510255,3.06633550422483,3.24319226701702,3.19817666293538,3.20774139193907,3.02603336860022,3.03279204242349,3.06563606999901,3.1102813836307,3.07385792791906,3.12456966693412,3.17985177905982,3.24113696525723,3.23199450760416,3.17749847292633,3.32416254095205,3.22193429292923,3.27653835282047
