"","21;21/18;4;32 low light (85 uE);darkness (0 uE);normal light (150 uE);low light (75 uE);high light (400 uE) 0","32 normal light (150 uE) 200","32 normal light (150 uE) 220","32 normal light (150 uE) 240","32 normal light (150 uE) 260","32 normal light (150 uE) 280","32 normal light (150 uE) 300","32 normal light (150 uE) 320","32 normal light (150 uE) 340","32 normal light (150 uE) 360","32 normal light (150 uE) 640","32 normal light (150 uE) 1280","32 normal light (150 uE) 5","32 normal light (150 uE) 10","32 normal light (150 uE) 20","32 normal light (150 uE) 40","32 normal light (150 uE) 60","32 normal light (150 uE) 80","32 normal light (150 uE) 100","32 normal light (150 uE) 120","32 normal light (150 uE) 140","32 normal light (150 uE) 160","32 normal light (150 uE) 180","21/18 normal light (150 uE) 5","21/18 normal light (150 uE) 160","21/18 normal light (150 uE) 180","21/18 normal light (150 uE) 200","21/18 normal light (150 uE) 220","21/18 normal light (150 uE) 240","21/18 normal light (150 uE) 260","21/18 normal light (150 uE) 280","21/18 normal light (150 uE) 300","21/18 normal light (150 uE) 320","21/18 normal light (150 uE) 340","21/18 normal light (150 uE) 10","21/18 normal light (150 uE) 360","21/18 normal light (150 uE) 640","21/18 normal light (150 uE) 1280","21/18 normal light (150 uE) 20","21/18 normal light (150 uE) 40","21/18 normal light (150 uE) 60","21/18 normal light (150 uE) 80","21/18 normal light (150 uE) 100","21/18 normal light (150 uE) 120","21/18 normal light (150 uE) 140"
"AT3G47160",2.59389851958953,3.34564383795256,3.36937109184943,3.35040155122791,3.36292325327334,3.35754496659895,3.36256719974593,3.35926025944811,3.3500728491459,3.3480751993394,3.28484735400046,3.03954962293883,2.63597395252224,2.74322395812991,2.8284678264246,2.92655148694395,3.08758118419486,3.1892259308683,3.20007753664575,3.25284787329988,3.26998713970607,3.28889537718292,3.34142446085511,2.66599280203502,3.23286971956773,3.2704826856722,3.28096336992058,3.30076062304117,3.3460664188642,3.32556309296352,3.30187460687677,3.27913906068877,3.29820208628001,3.32047581137665,2.60043686890573,3.26727175685503,3.08916035081182,1.66360657196534,2.77516094177765,2.87406098430299,2.93635953794826,3.04568081730527,3.1720830242829,3.1706193466701,3.24692251369847
"AT1G73870",3.39755352028543,3.30775413998346,3.27767847003194,3.23625268150852,3.21410636720153,3.16740046280613,3.194354199745,3.12941450275529,3.01514055766701,3.0734372474122,2.76564575519081,3.20079718323993,3.35822442300379,3.34008857009226,3.36347640314531,3.35709394286911,3.42600630347637,3.36408096302441,3.36784407007116,3.29465442958742,3.25106908989445,3.26637258278142,3.29234633448143,3.36343423882289,3.10363413832979,3.02973842188498,3.03746348679195,3.01049930057342,2.9345492921214,2.82229901172631,2.76827284551506,2.72040901713735,2.64221678710809,2.4711421491908,3.37900787167267,2.31772747110524,1.93426594974266,3.33162552543975,3.34790261869413,3.2530568109164,3.21835839236852,3.22240411610685,3.17113616351212,3.1536662661636,3.08009169529945
"AT1G57770",3.10513731449241,2.97141606650942,2.89336124660404,2.94005401889252,2.90486918585376,2.87612433469536,2.83601608981074,2.76346615890737,2.77872532331853,2.77906444631982,2.33555660890137,1.97119406409755,3.12304564112277,3.12030446368467,3.1170945543086,3.12913529912007,3.13897552602387,3.09684885931661,3.01817037580522,3.020807835919,3.08695153949674,3.03166090308575,2.9482154409536,3.07419231326032,3.04877957414069,3.08756619567997,3.04804352481498,3.00925429455441,2.99087540992044,3.050956677127,2.9722909453987,3.07260928382994,2.98967268005253,2.9572215723843,3.04610337970249,3.07068293067714,2.95657187340714,3.04300469068597,3.02563230842227,3.14245491635624,3.1296644469064,3.16592283535706,3.02475417920801,3.09425371865623,3.07654532512973
"AT3G62550",3.05705098708073,3.55275363105588,3.48917291445152,3.56091492271755,3.55156583570758,3.54744213936364,3.56755685920881,3.54482996467348,3.5162487389265,3.51818375238371,3.49199109678579,3.46238686666454,3.08775561249036,3.1460909172852,3.19121666011338,3.1746804542539,3.29338803453701,3.37762819067263,3.34541486181679,3.43550724964287,3.54574878663383,3.56513564705258,3.56784258554636,3.05151025135965,3.59834514772541,3.6108124399272,3.6025037475504,3.56163247418991,3.59280589337504,3.61678307781275,3.61735269085659,3.63727693738972,3.61172364391338,3.62504307824155,3.14428430534262,3.6205183469968,3.46860924128032,2.78194728630239,3.19488918537778,3.27233002220021,3.39497763645192,3.426101834846,3.52430308370502,3.53208613396163,3.60774786983615
"AT2G32120",2.05394983557699,2.6664322936366,2.59908254226003,2.59035278972893,2.50288047382936,2.5132778535322,2.57534814542034,2.39951189719231,2.50375024980308,2.45738842748442,2.53174855521205,2.92821871784358,2.06026346369624,2.35036335157113,2.71847801200717,2.89575048296661,3.26053577484143,3.18296361567648,3.07832187107842,2.97184775967885,2.69360472421711,2.74733540765234,2.55145718368707,2.1022859831289,2.05477773398373,2.03761083589147,1.98859587837,2.04399671754771,2.04733585204198,2.0355975213133,2.08591182665726,2.04186176269184,2.11844402104487,2.08661745187834,2.08941395576661,2.06494388391181,2.0289900432338,1.99932271658352,2.03874951013775,2.06644356911548,2.12757618691295,2.06557455382915,2.05527621535615,2.04602969522845,2.02649663722052
"AT1G06830",3.27220078129841,2.65921478826054,2.4241394797713,2.15404432172295,2.21242508776052,2.09781552614621,1.58930020645018,1.81197188230218,1.81463742187402,1.82939124050556,1.95550581523182,1.96623944643661,3.1670050167223,3.17867254985513,3.21656494370886,3.2884586879094,3.28895826487254,3.31523128503609,3.14031333819914,3.0873581117048,3.08130643427773,2.99214856155288,2.92744230940455,3.26563043801562,3.0910642958827,3.12660180668199,3.15796042333845,3.13788821187481,3.10534497329926,3.05446551346017,2.97843054346061,3.02659278698477,3.0109173798827,2.996590765043,3.19210625863993,3.07721830074998,3.04250279741345,3.37522440868905,3.14788884528159,3.15608413656837,3.20573625929474,3.19809561354991,3.16020945467327,3.08489689456764,3.1090083641052
"AT3G10820 /// AT3G10830",1.02194977639328,0.992874167914093,1.03068779680893,0.972733887004311,0.95418742183982,0.992855000014182,0.982714425183843,1.00393650204178,1.0216915495132,1.06339929705355,1.05318888343495,1.65116544899495,1.01335417828652,1.04098652401606,1.0130239085734,1.02625317881794,1.05144081693313,1.00628034898711,1.0117867357624,1.00542506906146,0.988426020378831,0.993697854955051,1.00070331156178,1.06005271900392,1.0093076808826,0.967862009019035,0.995248963400455,1.00748992593062,1.00398718678788,0.992977168871886,1.06382136535303,0.989884981857839,1.05093084109032,1.05139664627343,1.06121900381649,1.02067125768367,0.999846503654562,0.995306839545098,0.996140227363158,1.03085916025302,0.993822521731173,1.03050343958636,0.997733984955065,0.988270794383344,0.989556196068654
"AT1G70820",3.31388516133658,3.51701630934885,3.54023635566463,3.56195750980043,3.5554494908699,3.54370439442265,3.56992184214648,3.56382589195508,3.56842788815883,3.53792425656327,3.4615175274981,3.13343635887548,3.30829693574334,3.37350752456647,3.39153579121507,3.3733612164599,3.40342727186411,3.40326858332299,3.47032022506505,3.44253405203237,3.4620404132418,3.48421944922076,3.53597256158073,3.33015677341114,3.55540628333087,3.52891080639524,3.53726291748431,3.53094952873396,3.52962829619056,3.55815440805047,3.57141024384591,3.55680254019356,3.58903438561438,3.55444025244337,3.33508292826438,3.53749014338888,3.38791973303273,2.60497013576629,3.42595949275083,3.43058182428857,3.41539202035503,3.44634478152758,3.48610067419014,3.5220515507122,3.50254175265658
"AT3G16360",1.79061944636146,2.22726415968403,2.57770712176348,2.58924534333123,2.51578083187237,2.86046429166228,2.84210849535433,2.81249815133593,2.88667851091215,3.0857420263497,3.15156879911972,2.01128084062317,1.85562265707506,1.87756424797416,1.83621314175011,1.87379149014752,1.90628226117696,1.84988105743037,1.81844275026284,1.79459328225559,1.91588175500301,2.03181387702103,2.27302499175148,1.92561867233893,2.18486831984943,1.8180825547539,1.8197516820616,1.83851896496403,1.8122429373365,1.79735235569241,1.90896170773488,1.83004311814523,1.93451632051538,2.08350239595263,1.91906224064624,1.88056179595402,1.934611207577,1.83339548543109,1.74184066188644,1.87488032709729,1.91442145398717,1.87562181313212,1.81016097391314,2.16932169402061,1.92451901240857
"AT4G19820",0.984638889922388,0.953721343167284,0.98299337458745,0.94093277119824,0.939387418152058,0.958619924603724,0.932706732115614,0.956673266008521,0.97788764788532,1.0044664343081,1.00141029313818,0.952412377636947,0.976238564714542,0.994601714834819,0.977865873820553,0.975867477603755,1.0670632000564,0.970041555061599,0.970027522626025,0.969344294926378,0.953337818101923,0.95079522305185,0.957356842242456,1.01414297302644,0.970778995649398,0.946401911363074,0.958772115809834,0.965899597018305,0.961339601100534,0.945781056131229,1.00974879985226,0.95597656624294,1.00548432569496,1.00792947029226,1.01625667327548,0.974966781594686,0.960261404656362,1.54274008755585,0.962183174184499,0.98448980249576,0.952430838466072,0.977631168616246,0.965250573217628,0.949393361228849,0.962076914419238
